region_code,region,network,control_period,control_tiles,control_tests,control_devices_sum_across_tiles,control_download_mbps_test_weighted,control_upload_mbps_test_weighted,control_latency_ms_test_weighted,control_loaded_latency_down_ms_test_weighted,control_loaded_latency_up_ms_test_weighted,current_period,current_tiles,current_tests,current_devices_sum_across_tiles,current_download_mbps_test_weighted,current_upload_mbps_test_weighted,current_latency_ms_test_weighted,current_loaded_latency_down_ms_test_weighted,current_loaded_latency_up_ms_test_weighted,delta_download_mbps_test_weighted,delta_pct_download_mbps_test_weighted,delta_upload_mbps_test_weighted,delta_pct_upload_mbps_test_weighted,delta_latency_ms_test_weighted,delta_pct_latency_ms_test_weighted
6.0,Región del Libertador Bernardo O'Higgins,fixed,2026Q1,2593,23334,8752,344.952,286.379,9.211,214.431,262.884,2026Q2,2443,23412,8243,370.893,313.164,7.977,193.172,244.786,25.941,7.52,26.785,9.353,-1.234,-13.397
6.0,Región del Libertador Bernardo O'Higgins,mobile,2026Q1,1925,8134,3575,90.156,19.327,34.369,1262.066,1205.742,2026Q2,1669,7386,3177,91.676,20.331,29.398,1197.906,1208.803,1.52,1.686,1.004,5.195,-4.971,-14.464
7.0,Región del Maule,fixed,2026Q1,2667,23611,8805,344.839,301.241,10.267,192.994,240.729,2026Q2,2599,25457,8997,367.951,324.477,9.438,179.863,242.532,23.112,6.702,23.236,7.713,-0.829,-8.074
7.0,Región del Maule,mobile,2026Q1,2125,8330,4007,83.852,18.024,43.605,1489.554,1422.466,2026Q2,1924,8243,3698,74.216,17.437,35.705,1490.706,1378.647,-9.636,-11.492,-0.587,-3.257,-7.9,-18.117
8.0,Región del Bío-Bío,fixed,2026Q1,2531,31217,12203,410.855,336.106,9.724,239.907,255.677,2026Q2,2302,34518,12517,429.249,362.75,9.326,257.922,264.915,18.394,4.477,26.644,7.927,-0.398,-4.093
8.0,Región del Bío-Bío,mobile,2026Q1,2028,8296,4228,83.738,18.697,35.286,1850.55,1431.032,2026Q2,1897,8520,3981,83.932,18.852,33.626,1821.031,1292.882,0.194,0.232,0.155,0.829,-1.66,-4.704
9.0,Región de La Araucanía,fixed,2026Q1,2954,24157,9414,330.672,279.597,14.178,216.768,281.715,2026Q2,2376,22099,8061,366.7,319.337,13.383,209.985,266.849,36.028,10.895,39.74,14.213,-0.795,-5.607
9.0,Región de La Araucanía,mobile,2026Q1,2188,8874,4251,76.454,15.504,41.532,1644.19,1569.457,2026Q2,1766,7808,3391,78.754,16.658,39.742,1583.193,1484.966,2.3,3.008,1.154,7.443,-1.79,-4.31
10.0,Región de Los Lagos,fixed,2026Q1,2440,17050,6662,374.311,291.523,13.241,282.172,276.095,2026Q2,2043,16673,5932,415.379,328.827,11.892,251.672,252.969,41.068,10.972,37.304,12.796,-1.349,-10.188
10.0,Región de Los Lagos,mobile,2026Q1,1640,5616,2844,74.696,16.83,44.758,1940.617,1343.873,2026Q2,1333,5412,2457,83.773,18.618,42.088,1872.963,1366.224,9.077,12.152,1.788,10.624,-2.67,-5.965
11.0,Región de Aysén del Gral.Ibañez del Campo,fixed,2026Q1,441,1868,867,250.919,167.756,23.557,330.249,314.944,2026Q2,231,1139,474,317.169,243.258,18.486,290.728,284.589,66.25,26.403,75.502,45.007,-5.071,-21.527
11.0,Región de Aysén del Gral.Ibañez del Campo,mobile,2026Q1,265,740,402,79.023,15.137,60.797,1737.858,1675.281,2026Q2,152,567,248,71.328,16.504,52.84,1715.275,1263.63,-7.695,-9.738,1.367,9.031,-7.957,-13.088
12.0,Región de Magallanes y Antártica Chilena,fixed,2026Q1,400,2478,1229,332.187,240.474,47.182,379.833,330.471,2026Q2,290,2698,909,372.31,290.036,45.758,366.584,288.996,40.123,12.078,49.562,20.61,-1.424,-3.018
12.0,Región de Magallanes y Antártica Chilena,mobile,2026Q1,232,483,312,62.559,15.549,78.294,1480.032,1242.643,2026Q2,166,765,273,71.239,18.729,86.731,1791.743,1304.039,8.68,13.875,3.18,20.451,8.437,10.776
13.0,Región Metropolitana de Santiago,fixed,2026Q1,5732,257810,97469,417.511,358.667,5.14,217.084,232.641,2026Q2,5660,279942,100729,435.606,378.047,4.989,210.589,234.137,18.095,4.334,19.38,5.403,-0.151,-2.938
13.0,Región Metropolitana de Santiago,mobile,2026Q1,4557,43970,21275,127.788,26.905,22.516,1278.889,1039.725,2026Q2,4428,45052,21749,111.417,25.053,23.575,1337.724,1070.719,-16.371,-12.811,-1.852,-6.883,1.059,4.703
14.0,Región de Los Ríos,fixed,2026Q1,1483,9700,3811,288.603,217.415,18.399,264.498,294.748,2026Q2,1071,7404,2851,361.202,280.616,13.674,219.988,259.594,72.599,25.155,63.201,29.069,-4.725,-25.681
14.0,Región de Los Ríos,mobile,2026Q1,1058,3400,1910,67.393,14.685,46.02,1808.239,1653.163,2026Q2,843,2973,1428,74.875,16.325,45.347,1703.113,1613.944,7.482,11.102,1.64,11.168,-0.673,-1.462
15.0,Región de Arica y Parinacota,fixed,2026Q1,198,4948,1613,440.969,385.208,23.971,283.177,203.586,2026Q2,189,4910,1577,440.62,371.243,22.26,279.539,237.882,-0.349,-0.079,-13.965,-3.625,-1.711,-7.138
15.0,Región de Arica y Parinacota,mobile,2026Q1,191,1223,508,77.777,20.805,73.281,1666.837,1241.296,2026Q2,192,1598,542,79.611,20.168,55.118,1628.927,1349.142,1.834,2.358,-0.637,-3.062,-18.163,-24.785
16.0,Región de Ñuble,fixed,2026Q1,1267,9412,3649,367.46,308.587,12.794,249.563,262.594,2026Q2,1214,10630,3786,404.964,355.382,10.449,249.413,279.912,37.504,10.206,46.795,15.164,-2.345,-18.329
16.0,Región de Ñuble,mobile,2026Q1,1052,3390,1791,85.207,17.205,32.3,1882.014,1446.671,2026Q2,1162,3872,1895,94.58,14.681,31.878,1882.092,1628.539,9.373,11.0,-2.524,-14.67,-0.422,-1.307
