commune_code,commune,province,region,region_code,network,control_period,control_tiles,control_tests,control_devices_sum_across_tiles,control_download_mbps_test_weighted,control_upload_mbps_test_weighted,control_latency_ms_test_weighted,control_loaded_latency_down_ms_test_weighted,control_loaded_latency_up_ms_test_weighted,current_period,current_tiles,current_tests,current_devices_sum_across_tiles,current_download_mbps_test_weighted,current_upload_mbps_test_weighted,current_latency_ms_test_weighted,current_loaded_latency_down_ms_test_weighted,current_loaded_latency_up_ms_test_weighted,delta_download_mbps_test_weighted,delta_pct_download_mbps_test_weighted,delta_upload_mbps_test_weighted,delta_pct_upload_mbps_test_weighted,delta_latency_ms_test_weighted,delta_pct_latency_ms_test_weighted
13602,El Monte,Talagante,Región Metropolitana de Santiago,13.0,mobile,2025Q4,56.0,163.0,94.0,146.096,24.128,32.11,1252.521,1193.356,2026Q1,55.0,215.0,99.0,90.375,20.131,26.428,2046.572,1515.619,-55.721,-38.14,-3.997,-16.566,-5.682,-17.695
13603,Isla de Maipo,Talagante,Región Metropolitana de Santiago,13.0,fixed,2025Q4,103.0,1394.0,405.0,363.653,337.376,6.688,207.864,214.192,2026Q1,125.0,1514.0,471.0,383.118,359.19,6.408,199.735,249.042,19.465,5.353,21.814,6.466,-0.28,-4.187
13603,Isla de Maipo,Talagante,Región Metropolitana de Santiago,13.0,mobile,2025Q4,50.0,178.0,94.0,95.526,13.162,23.86,1781.333,1604.107,2026Q1,65.0,192.0,109.0,87.619,20.868,23.13,1657.063,1607.609,-7.907,-8.277,7.706,58.547,-0.73,-3.06
13604,Padre Hurtado,Talagante,Región Metropolitana de Santiago,13.0,fixed,2025Q4,104.0,3063.0,1078.0,392.906,341.085,7.703,231.803,229.696,2026Q1,93.0,2839.0,1135.0,423.27,377.173,5.979,230.263,212.968,30.364,7.728,36.088,10.58,-1.724,-22.381
13604,Padre Hurtado,Talagante,Región Metropolitana de Santiago,13.0,mobile,2025Q4,72.0,246.0,179.0,85.386,17.685,24.593,1586.041,1169.687,2026Q1,66.0,296.0,173.0,88.16,19.946,21.574,1554.858,992.493,2.774,3.249,2.261,12.785,-3.019,-12.276
13605,Peñaflor,Talagante,Región Metropolitana de Santiago,13.0,fixed,2025Q4,104.0,2700.0,1048.0,390.473,342.637,5.716,228.371,221.338,2026Q1,108.0,2927.0,1160.0,418.514,377.467,5.963,200.031,218.959,28.041,7.181,34.83,10.165,0.247,4.321
13605,Peñaflor,Talagante,Región Metropolitana de Santiago,13.0,mobile,2025Q4,81.0,798.0,256.0,94.374,20.793,22.911,1431.626,1003.445,2026Q1,86.0,602.0,253.0,103.954,19.874,23.261,1368.258,1099.65,9.58,10.151,-0.919,-4.42,0.35,1.528
14101,Valdivia,Valdivia,Región de Los Ríos,14.0,fixed,2025Q4,276.0,3518.0,1430.0,374.926,295.736,10.35,206.616,245.339,2026Q1,303.0,3726.0,1593.0,378.798,324.729,10.709,206.521,272.856,3.872,1.033,28.993,9.804,0.359,3.469
14101,Valdivia,Valdivia,Región de Los Ríos,14.0,mobile,2025Q4,183.0,874.0,509.0,101.828,22.215,38.112,1490.337,1262.802,2026Q1,201.0,1052.0,592.0,98.524,21.553,38.861,1670.473,1294.964,-3.304,-3.245,-0.662,-2.98,0.749,1.965
14102,Corral,Valdivia,Región de Los Ríos,14.0,fixed,2025Q4,16.0,72.0,25.0,395.497,258.46,16.736,128.597,177.972,2026Q1,14.0,92.0,25.0,259.387,201.4,15.935,231.478,399.533,-136.11,-34.415,-57.06,-22.077,-0.801,-4.786
14102,Corral,Valdivia,Región de Los Ríos,14.0,mobile,2025Q4,9.0,13.0,10.0,45.308,15.885,33.308,1220.0,849.923,2026Q1,23.0,58.0,34.0,33.386,10.384,89.379,1845.368,1359.172,-11.922,-26.313,-5.501,-34.63,56.071,168.341
14103,Lanco,Valdivia,Región de Los Ríos,14.0,fixed,2025Q4,42.0,227.0,76.0,260.295,189.246,15.612,235.07,187.256,2026Q1,38.0,400.0,95.0,265.912,187.415,10.37,544.455,280.96,5.617,2.158,-1.831,-0.968,-5.242,-33.577
14103,Lanco,Valdivia,Región de Los Ríos,14.0,mobile,2025Q4,35.0,138.0,51.0,60.405,14.853,37.565,1017.145,1454.21,2026Q1,40.0,130.0,65.0,61.642,12.984,66.477,1156.062,1299.227,1.237,2.048,-1.869,-12.583,28.912,76.965
14104,Los Lagos,Valdivia,Región de Los Ríos,14.0,fixed,2025Q4,70.0,287.0,104.0,180.497,105.404,26.617,278.206,356.619,2026Q1,92.0,267.0,131.0,208.181,100.954,26.199,324.729,247.782,27.684,15.338,-4.45,-4.222,-0.418,-1.57
14104,Los Lagos,Valdivia,Región de Los Ríos,14.0,mobile,2025Q4,43.0,133.0,57.0,51.653,14.522,40.632,1615.841,1413.805,2026Q1,113.0,174.0,128.0,51.73,10.036,46.603,1278.585,2428.157,0.077,0.149,-4.486,-30.891,5.971,14.695
