commune_code,commune,province,region,region_code,period,network,tiles,tests,devices_sum_across_tiles,download_mbps_test_weighted,upload_mbps_test_weighted,latency_ms_test_weighted,loaded_latency_down_ms_test_weighted,loaded_latency_up_ms_test_weighted,aggregation
5802,Limache,Marga Marga,Región de Valparaíso,5.0,2026Q2,fixed,175,1692,591,384.506,314.91,8.605,229.881,229.821,tile averages weighted by tile test count
5803,Olmué,Marga Marga,Región de Valparaíso,5.0,2026Q2,fixed,106,688,218,313.964,266.193,8.368,259.371,378.068,tile averages weighted by tile test count
5804,Villa Alemana,Marga Marga,Región de Valparaíso,5.0,2026Q2,fixed,109,5180,1757,445.252,401.163,7.101,215.2,207.403,tile averages weighted by tile test count
6101,Rancagua,Cachapoal,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,231,6412,2560,433.51,376.691,5.893,188.079,195.633,tile averages weighted by tile test count
6102,Codegua,Cachapoal,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,51,254,101,307.141,256.095,6.339,242.504,286.37,tile averages weighted by tile test count
6103,Coinco,Cachapoal,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,33,167,50,366.01,304.943,5.359,270.383,209.772,tile averages weighted by tile test count
6104,Coltauco,Cachapoal,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,99,592,183,341.853,298.723,4.699,156.69,256.156,tile averages weighted by tile test count
6105,Doñihue,Cachapoal,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,58,380,123,458.977,400.208,4.411,176.135,319.805,tile averages weighted by tile test count
6106,Graneros,Cachapoal,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,53,780,277,428.324,359.661,4.476,172.833,256.527,tile averages weighted by tile test count
6107,Las Cabras,Cachapoal,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,160,737,299,279.797,217.238,10.186,178.204,196.499,tile averages weighted by tile test count
6108,Machalí,Cachapoal,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,124,2161,646,444.871,381.485,6.268,194.822,257.464,tile averages weighted by tile test count
6109,Malloa,Cachapoal,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,31,134,51,226.449,163.879,20.082,259.06,415.224,tile averages weighted by tile test count
6110,Mostazal,Cachapoal,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,87,690,212,363.606,275.105,9.87,193.758,216.484,tile averages weighted by tile test count
6111,Olivar,Cachapoal,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,35,252,65,432.481,362.928,3.746,133.028,210.913,tile averages weighted by tile test count
6112,Peumo,Cachapoal,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,47,421,171,284.712,228.703,7.428,316.983,315.352,tile averages weighted by tile test count
6113,Pichidegua,Cachapoal,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,89,518,163,211.556,183.857,8.851,269.145,472.299,tile averages weighted by tile test count
6114,Quinta de Tilcoco,Cachapoal,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,41,204,81,466.857,368.341,4.873,186.088,282.951,tile averages weighted by tile test count
6115,Rengo,Cachapoal,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,112,1642,525,431.79,353.184,7.048,190.043,240.792,tile averages weighted by tile test count
6116,Requínoa,Cachapoal,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,78,520,200,388.448,317.671,8.198,235.145,333.502,tile averages weighted by tile test count
6117,San Vicente,Cachapoal,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,153,764,313,282.671,230.844,11.843,202.318,307.393,tile averages weighted by tile test count
6201,Pichilemu,Cardenal Caro,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,79,579,223,342.118,269.386,13.377,185.223,213.744,tile averages weighted by tile test count
