commune_code,commune,province,region,network,control_period,control_tests,control_download_mbps_test_weighted,current_period,current_tests,current_download_mbps_test_weighted,mean_tests_q1_q2,delta_download_mbps_test_weighted,delta_pct_download_mbps_test_weighted,report_change_rank_desc,report_change_rank_asc,report_validation
15101,Arica,Arica,Región de Arica y Parinacota,mobile,2026Q1,1115.0,82.889,2026Q2,1494.0,81.307,1304.5,-1.582,-1.909,8,18,mobile_mean_tests_q1_q2_at_or_above_1000
8101,Concepción,Concepción,Región del Bío-Bío,mobile,2026Q1,1310.0,98.317,2026Q2,1234.0,95.135,1272.0,-3.182,-3.236,9,17,mobile_mean_tests_q1_q2_at_or_above_1000
2101,Antofagasta,Antofagasta,Región de Antofagasta,mobile,2026Q1,1707.0,82.831,2026Q2,1723.0,79.854,1715.0,-2.977,-3.594,10,16,mobile_mean_tests_q1_q2_at_or_above_1000
5109,Viña del Mar,Valparaíso,Región de Valparaíso,mobile,2026Q1,3063.0,108.068,2026Q2,2521.0,103.145,2792.0,-4.923,-4.555,11,15,mobile_mean_tests_q1_q2_at_or_above_1000
13110,La Florida,Santiago,Región Metropolitana de Santiago,mobile,2026Q1,1588.0,125.322,2026Q2,1799.0,119.509,1693.5,-5.813,-4.638,12,14,mobile_mean_tests_q1_q2_at_or_above_1000
9101,Temuco,Cautín,Región de La Araucanía,mobile,2026Q1,1928.0,103.971,2026Q2,1883.0,98.141,1905.5,-5.83,-5.607,13,13,mobile_mean_tests_q1_q2_at_or_above_1000
13120,Ñuñoa,Santiago,Región Metropolitana de Santiago,mobile,2026Q1,1411.0,136.926,2026Q2,1507.0,125.832,1459.0,-11.094,-8.102,14,12,mobile_mean_tests_q1_q2_at_or_above_1000
13401,San Bernardo,Maipo,Región Metropolitana de Santiago,mobile,2026Q1,1718.0,102.379,2026Q2,1817.0,92.899,1767.5,-9.48,-9.26,15,11,mobile_mean_tests_q1_q2_at_or_above_1000
13101,Santiago,Santiago,Región Metropolitana de Santiago,mobile,2026Q1,4729.0,130.757,2026Q2,5140.0,118.141,4934.5,-12.616,-9.648,16,10,mobile_mean_tests_q1_q2_at_or_above_1000
13123,Providencia,Santiago,Región Metropolitana de Santiago,mobile,2026Q1,1751.0,155.663,2026Q2,2167.0,140.468,1959.0,-15.195,-9.761,17,9,mobile_mean_tests_q1_q2_at_or_above_1000
2201,Calama,El Loa,Región de Antofagasta,mobile,2026Q1,1004.0,93.026,2026Q2,1034.0,82.813,1019.0,-10.213,-10.979,18,8,mobile_mean_tests_q1_q2_at_or_above_1000
16101,Chillán,Ñuble,Región de Ñuble,mobile,2026Q1,989.0,99.947,2026Q2,1077.0,86.985,1033.0,-12.962,-12.969,19,7,mobile_mean_tests_q1_q2_at_or_above_1000
6101,Rancagua,Cachapoal,Región del Libertador Bernardo O'Higgins,mobile,2026Q1,1184.0,102.56,2026Q2,1258.0,88.536,1221.0,-14.024,-13.674,20,6,mobile_mean_tests_q1_q2_at_or_above_1000
13201,Puente Alto,Cordillera,Región Metropolitana de Santiago,mobile,2026Q1,1877.0,108.243,2026Q2,2119.0,91.12,1998.0,-17.123,-15.819,21,5,mobile_mean_tests_q1_q2_at_or_above_1000
13124,Pudahuel,Santiago,Región Metropolitana de Santiago,mobile,2026Q1,1468.0,116.995,2026Q2,1572.0,97.683,1520.0,-19.312,-16.507,22,4,mobile_mean_tests_q1_q2_at_or_above_1000
13301,Colina,Chacabuco,Región Metropolitana de Santiago,mobile,2026Q1,971.0,101.637,2026Q2,1313.0,84.374,1142.0,-17.263,-16.985,23,3,mobile_mean_tests_q1_q2_at_or_above_1000
13114,Las Condes,Santiago,Región Metropolitana de Santiago,mobile,2026Q1,5687.0,185.538,2026Q2,4244.0,145.423,4965.5,-40.115,-21.621,24,2,mobile_mean_tests_q1_q2_at_or_above_1000
7101,Talca,Talca,Región del Maule,mobile,2026Q1,1442.0,126.17,2026Q2,1387.0,93.241,1414.5,-32.929,-26.099,25,1,mobile_mean_tests_q1_q2_at_or_above_1000
