comuna,comuna_nombre,service_key,operator,network_role,record_count_intersecting,status
4105,Paihuano,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
4106,Vicuña,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
4106,Vicuña,claro_redacceso,Claro,RedAcceso,6,ok
4106,Vicuña,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,61,ok
4106,Vicuña,entel_redacceso_primarias,Entel,RedAcceso_primarias,1,ok
4106,Vicuña,infraco_redacceso,Infraco,RedAcceso,0,ok
4106,Vicuña,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,359,ok
4201,Illapel,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
4201,Illapel,claro_redacceso,Claro,RedAcceso,37,ok
4201,Illapel,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,105,ok
4201,Illapel,entel_redacceso_primarias,Entel,RedAcceso_primarias,2,ok
4201,Illapel,infraco_redacceso,Infraco,RedAcceso,795,ok
4201,Illapel,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,275,ok
4202,Canela,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
4202,Canela,claro_redacceso,Claro,RedAcceso,0,ok
4202,Canela,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,5,ok
4202,Canela,entel_redacceso_primarias,Entel,RedAcceso_primarias,0,ok
4202,Canela,infraco_redacceso,Infraco,RedAcceso,0,ok
4202,Canela,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
4203,Los Vilos,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
4203,Los Vilos,claro_redacceso,Claro,RedAcceso,28,ok
4203,Los Vilos,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,122,ok
4203,Los Vilos,entel_redacceso_primarias,Entel,RedAcceso_primarias,10,ok
4203,Los Vilos,infraco_redacceso,Infraco,RedAcceso,0,ok
4203,Los Vilos,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,252,ok
4204,Salamanca,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
4204,Salamanca,claro_redacceso,Claro,RedAcceso,0,ok
4204,Salamanca,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,158,ok
4204,Salamanca,entel_redacceso_primarias,Entel,RedAcceso_primarias,3,ok
4204,Salamanca,infraco_redacceso,Infraco,RedAcceso,0,ok
4204,Salamanca,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
4301,Ovalle,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
4301,Ovalle,claro_redacceso,Claro,RedAcceso,156,ok
