commune_code,commune,region,has_polygon
11203,Guaitecas,Aysén del General Carlos Ibáñez del Campo,yes
11301,Cochrane,Aysén del General Carlos Ibáñez del Campo,yes
11302,O'Higgins,Aysén del General Carlos Ibáñez del Campo,yes
11303,Tortel,Aysén del General Carlos Ibáñez del Campo,yes
11401,Chile Chico,Aysén del General Carlos Ibáñez del Campo,yes
11402,Río Ibáñez,Aysén del General Carlos Ibáñez del Campo,yes
12101,Punta Arenas,Magallanes y de la Antártica Chilena,yes
12102,Laguna Blanca,Magallanes y de la Antártica Chilena,yes
12103,Río Verde,Magallanes y de la Antártica Chilena,yes
12104,San Gregorio,Magallanes y de la Antártica Chilena,yes
12201,Cabo de Hornos,Magallanes y de la Antártica Chilena,yes
12202,Antártica,Magallanes y de la Antártica Chilena,no
12301,Porvenir,Magallanes y de la Antártica Chilena,yes
12302,Primavera,Magallanes y de la Antártica Chilena,yes
12303,Timaukel,Magallanes y de la Antártica Chilena,yes
12401,Natales,Magallanes y de la Antártica Chilena,yes
12402,Torres del Paine,Magallanes y de la Antártica Chilena,yes
13101,Santiago,Metropolitana de Santiago,yes
13102,Cerrillos,Metropolitana de Santiago,yes
13103,Cerro Navia,Metropolitana de Santiago,yes
13104,Conchalí,Metropolitana de Santiago,yes
13105,El Bosque,Metropolitana de Santiago,yes
13106,Estación Central,Metropolitana de Santiago,yes
13107,Huechuraba,Metropolitana de Santiago,yes
13108,Independencia,Metropolitana de Santiago,yes
13109,La Cisterna,Metropolitana de Santiago,yes
13110,La Florida,Metropolitana de Santiago,yes
13111,La Granja,Metropolitana de Santiago,yes
13112,La Pintana,Metropolitana de Santiago,yes
13113,La Reina,Metropolitana de Santiago,yes
13114,Las Condes,Metropolitana de Santiago,yes
13115,Lo Barnechea,Metropolitana de Santiago,yes
13116,Lo Espejo,Metropolitana de Santiago,yes
13117,Lo Prado,Metropolitana de Santiago,yes
13118,Macul,Metropolitana de Santiago,yes
13119,Maipú,Metropolitana de Santiago,yes
13120,Ñuñoa,Metropolitana de Santiago,yes
13121,Pedro Aguirre Cerda,Metropolitana de Santiago,yes
13122,Peñalolén,Metropolitana de Santiago,yes
13123,Providencia,Metropolitana de Santiago,yes
13124,Pudahuel,Metropolitana de Santiago,yes
13125,Quilicura,Metropolitana de Santiago,yes
13126,Quinta Normal,Metropolitana de Santiago,yes
13127,Recoleta,Metropolitana de Santiago,yes
13128,Renca,Metropolitana de Santiago,yes
13129,San Joaquín,Metropolitana de Santiago,yes
13130,San Miguel,Metropolitana de Santiago,yes
13131,San Ramón,Metropolitana de Santiago,yes
13132,Vitacura,Metropolitana de Santiago,yes
13201,Puente Alto,Metropolitana de Santiago,yes
13202,Pirque,Metropolitana de Santiago,yes
13203,San José de Maipo,Metropolitana de Santiago,yes
13301,Colina,Metropolitana de Santiago,yes
13302,Lampa,Metropolitana de Santiago,yes
13303,Tiltil,Metropolitana de Santiago,yes
13401,San Bernardo,Metropolitana de Santiago,yes
13402,Buin,Metropolitana de Santiago,yes
13403,Calera de Tango,Metropolitana de Santiago,yes
13404,Paine,Metropolitana de Santiago,yes
13501,Melipilla,Metropolitana de Santiago,yes
13502,Alhué,Metropolitana de Santiago,yes
13503,Curacaví,Metropolitana de Santiago,yes
13504,María Pinto,Metropolitana de Santiago,yes
13505,San Pedro,Metropolitana de Santiago,yes
13601,Talagante,Metropolitana de Santiago,yes
13602,El Monte,Metropolitana de Santiago,yes
13603,Isla de Maipo,Metropolitana de Santiago,yes
