period,year,operator,operator_source_label,connections,connection_share_pct,traffic_tb,traffic_share_pct
2025-06,2025,WOM,WOM,5629407,24.820539,155619.306064,25.724504
2025-06,2025,Netline,Netline,0,0.0,,
2025-06,2025,Simple,Simple,0,0.0,,
2025-06,2025,Mundo Pacífico,Mundo Pacífico,144141,0.63553,1703.93959,0.281668
2025-06,2025,Suma Móvil Chile,Suma Móvil Chile,12989,0.05727,,
2026-06,2026,Movistar,Movistar,4175789,18.484612,113342.591433,16.281014
2026-06,2026,Grupo Claro-VTR,Grupo Claro-VTR,4746510,21.010974,129675.564615,18.627152
2026-06,2026,Entel,Entel PCS,7941760,35.155117,272450.605723,39.135969
2026-06,2026,Virgin,Virgin,40644,0.179915,,
2026-06,2026,GTD Móvil,GTD Móvil,4687,0.020748,,
2026-06,2026,WOM,WOM,5484773,24.278981,177511.527359,25.498514
2026-06,2026,Netline,Netline,0,0.0,,
2026-06,2026,Simple,Simple,0,0.0,,
2026-06,2026,Mundo Pacífico,Mundo Pacífico,179828,0.796029,3179.234522,0.456679
2026-06,2026,Suma Móvil Chile,Suma Móvil Chile,16632,0.073623,,
