period,year,month,series_group,indicator,value,unit,source_sheet,source_row
2011-06,2011,6,fixed_connections,penetration_per_100_inhabitants,11.234279,per_100_inhabitants,7.1.CO_TOT_FIJAS,53
2011-07,2011,7,fixed_connections,fixed_connections_total,1953417,connections,7.1.CO_TOT_FIJAS,54
2011-07,2011,7,fixed_connections,penetration_per_100_inhabitants,11.34444,per_100_inhabitants,7.1.CO_TOT_FIJAS,54
2011-08,2011,8,fixed_connections,fixed_connections_total,1977708,connections,7.1.CO_TOT_FIJAS,55
2011-08,2011,8,fixed_connections,penetration_per_100_inhabitants,11.475785,per_100_inhabitants,7.1.CO_TOT_FIJAS,55
2011-09,2011,9,fixed_connections,fixed_connections_total,1992753,connections,7.1.CO_TOT_FIJAS,56
2011-09,2011,9,fixed_connections,penetration_per_100_inhabitants,11.552758,per_100_inhabitants,7.1.CO_TOT_FIJAS,56
2011-10,2011,10,fixed_connections,fixed_connections_total,2005472,connections,7.1.CO_TOT_FIJAS,57
2011-10,2011,10,fixed_connections,penetration_per_100_inhabitants,11.622042,per_100_inhabitants,7.1.CO_TOT_FIJAS,57
2011-11,2011,11,fixed_connections,fixed_connections_total,2021209,connections,7.1.CO_TOT_FIJAS,58
2011-11,2011,11,fixed_connections,penetration_per_100_inhabitants,11.698495,per_100_inhabitants,7.1.CO_TOT_FIJAS,58
2011-12,2011,12,fixed_connections,fixed_connections_total,2025042,connections,7.1.CO_TOT_FIJAS,59
2011-12,2011,12,fixed_connections,penetration_per_100_inhabitants,11.710808,per_100_inhabitants,7.1.CO_TOT_FIJAS,59
2012-01,2012,1,fixed_connections,fixed_connections_total,2022882,connections,7.1.CO_TOT_FIJAS,60
2012-01,2012,1,fixed_connections,penetration_per_100_inhabitants,11.688331,per_100_inhabitants,7.1.CO_TOT_FIJAS,60
2012-02,2012,2,fixed_connections,fixed_connections_total,2029256,connections,7.1.CO_TOT_FIJAS,61
2012-02,2012,2,fixed_connections,penetration_per_100_inhabitants,11.715235,per_100_inhabitants,7.1.CO_TOT_FIJAS,61
2012-03,2012,3,fixed_connections,fixed_connections_total,2031572,connections,7.1.CO_TOT_FIJAS,62
2012-03,2012,3,fixed_connections,penetration_per_100_inhabitants,11.718721,per_100_inhabitants,7.1.CO_TOT_FIJAS,62
2012-04,2012,4,fixed_connections,fixed_connections_total,2070145,connections,7.1.CO_TOT_FIJAS,63
2012-04,2012,4,fixed_connections,penetration_per_100_inhabitants,11.930931,per_100_inhabitants,7.1.CO_TOT_FIJAS,63
2012-05,2012,5,fixed_connections,fixed_connections_total,2095838,connections,7.1.CO_TOT_FIJAS,64
2012-05,2012,5,fixed_connections,penetration_per_100_inhabitants,12.071952,per_100_inhabitants,7.1.CO_TOT_FIJAS,64
2012-06,2012,6,fixed_connections,fixed_connections_total,2097445,connections,7.1.CO_TOT_FIJAS,65
2012-06,2012,6,fixed_connections,penetration_per_100_inhabitants,12.06775,per_100_inhabitants,7.1.CO_TOT_FIJAS,65
2012-07,2012,7,fixed_connections,fixed_connections_total,2123653,connections,7.1.CO_TOT_FIJAS,66
2012-07,2012,7,fixed_connections,penetration_per_100_inhabitants,12.208197,per_100_inhabitants,7.1.CO_TOT_FIJAS,66
2012-08,2012,8,fixed_connections,fixed_connections_total,2152841,connections,7.1.CO_TOT_FIJAS,67
2012-08,2012,8,fixed_connections,penetration_per_100_inhabitants,12.365482,per_100_inhabitants,7.1.CO_TOT_FIJAS,67
2012-09,2012,9,fixed_connections,fixed_connections_total,2158206,connections,7.1.CO_TOT_FIJAS,68
2012-09,2012,9,fixed_connections,penetration_per_100_inhabitants,12.385806,per_100_inhabitants,7.1.CO_TOT_FIJAS,68
2012-10,2012,10,fixed_connections,fixed_connections_total,2177284,connections,7.1.CO_TOT_FIJAS,69
2012-10,2012,10,fixed_connections,penetration_per_100_inhabitants,12.484721,per_100_inhabitants,7.1.CO_TOT_FIJAS,69
2012-11,2012,11,fixed_connections,fixed_connections_total,2187644,connections,7.1.CO_TOT_FIJAS,70
2012-11,2012,11,fixed_connections,penetration_per_100_inhabitants,12.533532,per_100_inhabitants,7.1.CO_TOT_FIJAS,70
2012-12,2012,12,fixed_connections,fixed_connections_total,2186173,connections,7.1.CO_TOT_FIJAS,71
2012-12,2012,12,fixed_connections,penetration_per_100_inhabitants,12.514525,per_100_inhabitants,7.1.CO_TOT_FIJAS,71
2013-01,2013,1,fixed_connections,fixed_connections_total,2189991,connections,7.1.CO_TOT_FIJAS,72
2013-01,2013,1,fixed_connections,penetration_per_100_inhabitants,12.525581,per_100_inhabitants,7.1.CO_TOT_FIJAS,72
2013-02,2013,2,fixed_connections,fixed_connections_total,2194942,connections,7.1.CO_TOT_FIJAS,73
2013-02,2013,2,fixed_connections,penetration_per_100_inhabitants,12.543092,per_100_inhabitants,7.1.CO_TOT_FIJAS,73
2013-03,2013,3,fixed_connections,fixed_connections_total,2235805,connections,7.1.CO_TOT_FIJAS,74
2013-03,2013,3,fixed_connections,penetration_per_100_inhabitants,12.7656,per_100_inhabitants,7.1.CO_TOT_FIJAS,74
2013-04,2013,4,fixed_connections,fixed_connections_total,2225137,connections,7.1.CO_TOT_FIJAS,75
2013-04,2013,4,fixed_connections,penetration_per_100_inhabitants,12.693768,per_100_inhabitants,7.1.CO_TOT_FIJAS,75
2013-05,2013,5,fixed_connections,fixed_connections_total,2244527,connections,7.1.CO_TOT_FIJAS,76
2013-05,2013,5,fixed_connections,penetration_per_100_inhabitants,12.793383,per_100_inhabitants,7.1.CO_TOT_FIJAS,76
2013-06,2013,6,fixed_connections,fixed_connections_total,2260443,connections,7.1.CO_TOT_FIJAS,77
2013-06,2013,6,fixed_connections,penetration_per_100_inhabitants,12.873044,per_100_inhabitants,7.1.CO_TOT_FIJAS,77
2013-07,2013,7,fixed_connections,fixed_connections_total,2283719,connections,7.1.CO_TOT_FIJAS,78
2013-07,2013,7,fixed_connections,penetration_per_100_inhabitants,12.994446,per_100_inhabitants,7.1.CO_TOT_FIJAS,78
2013-08,2013,8,fixed_connections,fixed_connections_total,2285037,connections,7.1.CO_TOT_FIJAS,79
2013-08,2013,8,fixed_connections,penetration_per_100_inhabitants,12.990806,per_100_inhabitants,7.1.CO_TOT_FIJAS,79
