dataset,sheet,row,values
fixed_connections,7.7.CO_TEC_FIJAS,15, || 2008 || Dic || 1439009 || 816702 || 605889 ||  || 16418 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,16, || 2009 || Dic || 1695034 || 905787 || 758943 ||  || 30304 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,17, || 2010 || Dic || 1819564 || 947781 || 847117 || 1631 || 23035 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,18, || 2011 || Dic || 2025042 || 1012603 || 977194 || 11656 || 23589 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,19, || 2012 || Dic || 2186173 || 1000444 || 1075407 || 40003 || 70319 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,20, || 2013 || Dic || 2309572 || 983055 || 1163502 || 67059 || 95956 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,21, || 2014 || Dic || 2501356 || 956428 || 1257752 || 154604 || 132572 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,22, || 2015 || Dic || 2729251 || 928851 || 1394489 || 224317 || 181594 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,23, || 2016 || Dic || 2912133 || 837735 || 1567991 || 293504 || 212903 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,24, || 2017 || Dic || 3068528 || 773832 || 1683121 || 402488 || 209087 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,25, || 2018 || Dic || 3256097 || 589162 || 1782881 || 703413 || 180641 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,26, || 2019 || Dic || 3434767 || 405533 || 1827499 || 957916 || 243819 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,27, || 2020 || Dic || 3802033 || 240540 || 1785647 || 1553758 || 222088 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,28, || 2021 || Dic || 4287491 || 139133 || 1553197 || 2430254 || 164907 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,2, || SERVICIO ACCESO A INTERNET: TOTAL DE CONEXIONES MÓVILES ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,3, || CONEXIONES MÓVILES POR TIPO DE TECNOLOGÍA ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,6, || << VOLVER ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,7, || Año || Mes || Total de conexiones 2G || Total de conexiones 3G || Total de conexiones 4G || Total de conexiones 5G || Total de Conexiones Móviles || Total de Conexiones 3G+4G+5G || Penetración 2G por cada 100 habitantes || Penetración 3G por cada 100 habitantes || Penetración 4G por cada 100 habitantes || Penetración 5G por cada 100 habitantes || Penetración 3G+4G+5G por cada 100 habitantes || Penetración Total por cada 100 habitantes ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,8, || 2009 || Dic || 3052045 || 638787 ||  ||  || 3690832 || 638787 || 18.012806019163055 || 3.7700447793407728 ||  ||  || 3.7700447793407728 || 21.782850798503826 ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,9, || 2010 || Ene || 3025950 || 729958 ||  ||  || 3755908 || 729958 || 17.843589566835284 || 4.304456766644508 ||  ||  || 4.304456766644508 || 22.14804633347979 ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,10, ||  || Feb || 2976434 || 780957 ||  ||  || 3757391 || 780957 || 17.53666726527742 || 4.601272212818849 ||  ||  || 4.601272212818849 || 22.137939478096268 ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,11, ||  || Mar || 3032765 || 860017 ||  ||  || 3892782 || 860017 || 17.853371081255204 || 5.06277361984455 ||  ||  || 5.06277361984455 || 22.916144701099753 ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,12, ||  || Abr || 3024333 || 964118 ||  ||  || 3988451 || 964118 || 17.788611977569996 || 5.670777987275485 ||  ||  || 5.670777987275485 || 23.459389964845478 ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,13, ||  || May || 3212406 || 1015940 ||  ||  || 4228346 || 1015940 || 18.878789803897554 || 5.970514845686281 ||  ||  || 5.970514845686281 || 24.849304649583836 ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,14, ||  || Jun || 3284863 || 1053617 ||  ||  || 4338480 || 1053617 || 19.288239560883884 || 6.186686355388275 ||  ||  || 6.186686355388275 || 25.474925916272163 ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,15, ||  || Jul || 3445085 || 1091122 ||  ||  || 4536207 || 1091122 || 20.211901154332157 || 6.401482114756882 ||  ||  || 6.401482114756882 || 26.613383269089038 ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,16, ||  || Ago || 3361212 || 1133410 ||  ||  || 4494622 || 1133410 || 19.703136253043358 || 6.64395214005004 ||  ||  || 6.64395214005004 || 26.347088393093397 ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,17, ||  || Sep || 3367676 || 1184896 ||  ||  || 4552572 || 1184896 || 19.724330645088077 || 6.939883909272235 ||  ||  || 6.939883909272235 || 26.664214554360314 ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,18, ||  || Oct || 3527081 || 1265877 ||  ||  || 4792958 || 1265877 || 20.640500941119686 || 7.407920433310651 ||  ||  || 7.407920433310651 || 28.048421374430337 ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,19, ||  || Nov || 3617632 || 1331159 ||  ||  || 4948791 || 1331159 || 21.15253146364447 || 7.783373939254602 ||  ||  || 7.783373939254602 || 28.935905402899067 ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,20, ||  || Dic || 3809777 || 1445675 ||  ||  || 5255452 || 1445675 || 22.257222438673235 || 8.445825057222228 ||  ||  || 8.445825057222228 || 30.703047495895465 ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,21, || 2011 || Ene || 3540683 || 1780975 ||  ||  || 5321658 || 1780975 || 20.667525701735826 || 10.395832269268093 ||  ||  || 10.395832269268093 || 31.063357971003917 ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,22, ||  || Feb || 3482404 || 1780671 ||  ||  || 5263075 || 1780671 || 20.310046287769417 || 10.385213902031085 ||  ||  || 10.385213902031085 || 30.6952601898005 ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,23, ||  || Mar || 3509356 || 1918215 ||  ||  || 5427571 || 1918215 || 20.44983678501739 || 11.177886674527215 ||  ||  || 11.177886674527215 || 31.627723459544605 ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,24, ||  || Abr || 3507393 || 2019619 ||  ||  || 5527012 || 2019619 || 20.42103847423552 || 11.758795579023243 ||  ||  || 11.758795579023243 || 32.17983405325876 ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,25, ||  || May || 3533497 || 2111901 ||  ||  || 5645398 || 2111901 || 20.555563215056864 || 12.285652006904721 ||  ||  || 12.285652006904721 || 32.84121522196158 ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,26, ||  || Jun || 3750297 || 2241188 ||  ||  || 5991485 || 2241188 || 21.79826437945227 || 13.026703897866188 ||  ||  || 13.026703897866188 || 34.82496827731846 ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,27, ||  || Jul || 3949617 || 2444064 ||  ||  || 6393681 || 2444064 || 22.937341070916474 || 14.193864763886829 ||  ||  || 14.193864763886829 || 37.1312058348033 ||  ||  || 
mobile_connections,8.1.CO_TEC_MOVIL,28, ||  || Ago || 4201075 || 2596941 ||  ||  || 6798016 || 2596941 || 24.377023246653994 || 15.068926674051015 ||  ||  || 15.068926674051015 || 39.445949920705004 ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,2, || SERVICIO DE INTERNET MÓVIL: ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,3, || TRÁFICO DE DATOS MÓVILES (TB) POR SENTIDO DEL TRÁFICO (SUBIDA Y BAJADA). ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,9, || Año || Mes || TRÁFICO EN TERA BYTES (TB) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,10, ||  ||  || Bajada (Downlink) || Subida (Uplink) || Total || % Variación 12 meses ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,11, || 2017 || Jun || 49031.05024258005 || 4110.08291705999 || 53141.13315964004 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,12, ||  || Jul || 54144.662105049996 || 4576.3360823400035 || 58720.998187389996 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,13, ||  || Ago || 59053.884418420064 || 4926.590468279995 || 63980.47488670006 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,14, ||  || Sep || 60615.60342505002 || 5073.856214519995 || 65689.45963957002 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,15, ||  || Oct || 62912.282246690076 || 5241.949387530001 || 68154.23163422008 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,16, ||  || Nov || 65116.65234938989 || 5430.773665819999 || 70547.42601520989 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,17, ||  || Dic || 73085.59325743986 || 5979.614936169995 || 79065.20819360985 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,18, || 2018 || Ene || 82305.17591393007 || 6615.8464045499995 || 88921.02231848007 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,19, ||  || Feb || 80168.92333622999 || 6368.904282209991 || 86537.82761843997 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
