period,year,month,operator,connections,two_named_satellite_operators_total,total_fixed_market,share_of_total_fixed_pct,interpretation,source_sheet,source_row
2024-01,2024,1,Starlink,45047,53211,4528321,0.994784,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,179
2024-02,2024,2,Hughesnet,8042,55649,4522722,0.177813,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,180
2024-02,2024,2,Starlink,47607,55649,4522722,1.052618,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,180
2024-03,2024,3,Hughesnet,7891,58314,4548059,0.173503,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,181
2024-03,2024,3,Starlink,50423,58314,4548059,1.108671,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,181
2024-04,2024,4,Hughesnet,7710,60233,4577737,0.168424,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,182
2024-04,2024,4,Starlink,52523,60233,4577737,1.147357,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,182
2024-05,2024,5,Hughesnet,7556,61673,4596289,0.164393,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,183
2024-05,2024,5,Starlink,54117,61673,4596289,1.177406,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,183
2024-06,2024,6,Hughesnet,7450,65105,4610840,0.161576,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,184
2024-06,2024,6,Starlink,57655,65105,4610840,1.250423,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,184
2024-07,2024,7,Hughesnet,7235,67082,4620060,0.1566,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,185
2024-07,2024,7,Starlink,59847,67082,4620060,1.295373,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,185
2024-08,2024,8,Hughesnet,7153,71784,4645779,0.153968,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,186
2024-08,2024,8,Starlink,64631,71784,4645779,1.391177,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,186
2024-09,2024,9,Hughesnet,6979,74670,4650991,0.150054,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,187
2024-09,2024,9,Starlink,67691,74670,4650991,1.45541,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,187
2024-10,2024,10,Hughesnet,6899,77016,4666122,0.147853,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,188
2024-10,2024,10,Starlink,70117,77016,4666122,1.502683,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,188
2024-11,2024,11,Hughesnet,6811,79367,4664951,0.146004,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,189
2024-11,2024,11,Starlink,72556,79367,4664951,1.555343,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,189
2024-12,2024,12,Hughesnet,6375,80646,4690891,0.135902,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,190
2024-12,2024,12,Starlink,74271,80646,4690891,1.583303,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,190
2025-01,2025,1,Hughesnet,6189,84319,4675968,0.132358,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,191
2025-01,2025,1,Starlink,78130,84319,4675968,1.670884,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,191
2025-02,2025,2,Hughesnet,6088,88051,4710455,0.129244,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,192
2025-02,2025,2,Starlink,81963,88051,4710455,1.740023,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,192
2025-03,2025,3,Hughesnet,5966,92309,4721217,0.126366,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,193
2025-03,2025,3,Starlink,86343,92309,4721217,1.828829,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,193
2025-04,2025,4,Hughesnet,5755,97148,4731649,0.121628,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,194
2025-04,2025,4,Starlink,91393,97148,4731649,1.931525,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,194
2025-05,2025,5,Hughesnet,5634,101239,4745897,0.118713,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,195
2025-05,2025,5,Starlink,95605,101239,4745897,2.014477,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,195
2025-06,2025,6,Hughesnet,5507,106975,4744176,0.116079,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,196
2025-06,2025,6,Starlink,101468,106975,4744176,2.138791,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,196
2025-07,2025,7,Hughesnet,5390,109651,4742729,0.113648,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,197
2025-07,2025,7,Starlink,104261,109651,4742729,2.198333,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,197
2025-08,2025,8,Hughesnet,5218,113384,4768968,0.109416,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,198
2025-08,2025,8,Starlink,108166,113384,4768968,2.268122,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,198
2025-09,2025,9,Hughesnet,5179,124588,4773941,0.108485,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,199
2025-09,2025,9,Starlink,119409,124588,4773941,2.501267,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,199
