period,year,month,series_group,indicator,value,unit,source_sheet,source_row
2019-12,2019,12,mobile_traffic,mobile_traffic_uplink_tb,13776.161039,TB,9.1.TRAF_SENT,41
2020-12,2020,12,fixed_connections,fixed_connections_total,3802033,connections,7.1.CO_TOT_FIJAS,167
2020-12,2020,12,fixed_connections,penetration_per_100_inhabitants,19.699722,per_100_inhabitants,7.1.CO_TOT_FIJAS,167
2020-12,2020,12,fixed_traffic,fixed_traffic_downlink_tb,1295835.684579,TB,10.1.TRAF_SENT,34
2020-12,2020,12,fixed_traffic,fixed_traffic_total_tb,1478307.328318,TB,10.1.TRAF_SENT,34
2020-12,2020,12,fixed_traffic,fixed_traffic_uplink_tb,182471.643739,TB,10.1.TRAF_SENT,34
2020-12,2020,12,mobile_connections,connections_2g,167375,connections,8.1.CO_TEC_MOVIL,140
2020-12,2020,12,mobile_connections,connections_3g,1960755,connections,8.1.CO_TEC_MOVIL,140
2020-12,2020,12,mobile_connections,connections_3g_4g_5g,20542850,connections,8.1.CO_TEC_MOVIL,140
2020-12,2020,12,mobile_connections,connections_4g,18582095,connections,8.1.CO_TEC_MOVIL,140
2020-12,2020,12,mobile_connections,mobile_connections_total,20710225,connections,8.1.CO_TEC_MOVIL,140
2020-12,2020,12,mobile_traffic,mobile_traffic_downlink_tb,254887.626445,TB,9.1.TRAF_SENT,53
2020-12,2020,12,mobile_traffic,mobile_traffic_total_tb,274894.712735,TB,9.1.TRAF_SENT,53
2020-12,2020,12,mobile_traffic,mobile_traffic_uplink_tb,20007.08629,TB,9.1.TRAF_SENT,53
2021-12,2021,12,fixed_connections,fixed_connections_total,4287491,connections,7.1.CO_TOT_FIJAS,179
2021-12,2021,12,fixed_connections,penetration_per_100_inhabitants,22.00599,per_100_inhabitants,7.1.CO_TOT_FIJAS,179
2021-12,2021,12,fixed_traffic,fixed_traffic_downlink_tb,1654002.780535,TB,10.1.TRAF_SENT,46
2021-12,2021,12,fixed_traffic,fixed_traffic_total_tb,1889311.854929,TB,10.1.TRAF_SENT,46
2021-12,2021,12,fixed_traffic,fixed_traffic_uplink_tb,235309.074394,TB,10.1.TRAF_SENT,46
2021-12,2021,12,mobile_connections,connections_2g,102837,connections,8.1.CO_TEC_MOVIL,152
2021-12,2021,12,mobile_connections,connections_3g,1580711,connections,8.1.CO_TEC_MOVIL,152
2021-12,2021,12,mobile_connections,connections_3g_4g_5g,22598823,connections,8.1.CO_TEC_MOVIL,152
2021-12,2021,12,mobile_connections,connections_4g,20985682,connections,8.1.CO_TEC_MOVIL,152
2021-12,2021,12,mobile_connections,connections_5g,32430,connections,8.1.CO_TEC_MOVIL,152
