region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,fixed_connections_total,fixed_connections_residential,residential_share_pct,period,source_url
5,Valparaíso,51,Valparaíso,5105,Puchuncaví,8791,8656,98.4643,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,51,Valparaíso,5107,Quintero,9581,9246,96.5035,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,51,Valparaíso,5109,Viña del Mar,126819,118809,93.6839,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,52,Isla de Pascua,5201,Isla de Pascua,2542,2463,96.8922,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,53,Los Andes,5301,Los Andes,22063,20607,93.4007,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,53,Los Andes,5302,Calle Larga,4427,4277,96.6117,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,53,Los Andes,5303,Rinconada,3023,2939,97.2213,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,53,Los Andes,5304,San Esteban,4126,4001,96.9704,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,54,Petorca,5401,La Ligua,8011,7734,96.5423,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,54,Petorca,5402,Cabildo,2587,2507,96.9076,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,54,Petorca,5403,Papudo,2662,2489,93.5011,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,54,Petorca,5404,Petorca,886,810,91.4221,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,54,Petorca,5405,Zapallar,3388,3164,93.3884,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,55,Quillota,5501,Quillota,27359,26079,95.3215,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,55,Quillota,5502,Calera,14004,13439,95.9654,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,55,Quillota,5503,Hijuelas,3768,3707,98.3811,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,55,Quillota,5504,La Cruz,7449,7126,95.6638,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,55,Quillota,5506,Nogales,4543,4450,97.9529,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,56,San Antonio,5601,San Antonio,25163,24286,96.5147,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,56,San Antonio,5602,Algarrobo,8881,8475,95.4284,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,56,San Antonio,5603,Cartagena,7272,7247,99.6562,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,56,San Antonio,5604,El Quisco,8618,8556,99.2806,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,56,San Antonio,5605,El Tabo,7770,7593,97.722,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,56,San Antonio,5606,Santo Domingo,5090,4849,95.2652,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,57,San Felipe de Aconcagua,5701,San Felipe,20317,19367,95.3241,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,57,San Felipe de Aconcagua,5702,Catemu,1870,1823,97.4866,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,57,San Felipe de Aconcagua,5703,Llaillay,5647,5448,96.476,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,57,San Felipe de Aconcagua,5704,Panquehue,1657,1590,95.9565,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,57,San Felipe de Aconcagua,5705,Putaendo,2828,2770,97.9491,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,57,San Felipe de Aconcagua,5706,Santa María,2573,2482,96.4633,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,58,Marga Marga,5801,Quilpué,54829,52390,95.5516,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,58,Marga Marga,5802,Limache,15099,14491,95.9732,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,58,Marga Marga,5803,Olmué,4634,4514,97.4104,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,58,Marga Marga,5804,Villa Alemana,49009,47000,95.9008,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6101,Rancagua,78248,74459,95.1577,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6102,Codegua,1672,1660,99.2823,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6103,Coinco,1513,1503,99.3391,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6104,Coltauco,3776,3735,98.9142,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6105,Doñihue,4477,4390,98.0567,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6106,Graneros,9191,9023,98.1721,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6107,Las Cabras,2245,2179,97.0601,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6108,Machalí,18088,17372,96.0416,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6109,Malloa,1295,1268,97.9151,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6110,Mostazal,4835,4710,97.4147,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6111,Olivar,2648,2555,96.4879,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6112,Peumo,1468,1455,99.1144,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6113,Pichidegua,1826,1800,98.5761,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
