region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,hogares_total,hogares_validos_internet,hogares_sin_internet_n,hogares_sin_internet_pct,hogares_trampa_movil_n,hogares_trampa_movil_pct,hogares_con_tel_movil_n,hogares_con_tel_movil_pct,hogares_con_computador_n,hogares_con_computador_pct,hogares_con_internet_fija_n,hogares_con_internet_fija_pct,hogares_con_internet_movil_n,hogares_con_internet_movil_pct,hogares_con_internet_satelital_n,hogares_con_internet_satelital_pct,hogares_urbanos_n,hogares_urbanos_pct,hogares_rurales_n,hogares_rurales_pct,pct_hacinamiento,pct_hacinamiento_critico,pct_no_propietario,pct_arrendatario,pct_tenencia_irregular,pct_monoparental,pct_hogares_con_nna,pct_hogares_con_mayores,pct_hogares_con_discapacidad,pct_jefatura_femenina,pct_hogares_multigeneracionales,macrozona_operativa
4,Coquimbo,41,Elqui,4104,La Higuera,1626,1622,229,14.1184,1127,69.4821,1564,96.187,484,29.7663,204,12.5461,1356,83.3948,84,5.1661,362,22.2632,1264,77.7368,5.7321,0.4361,23.4932,7.8106,2.952,12.1771,100,0,30.6273,41.2054,0,Norte
4,Coquimbo,41,Elqui,4105,Paihuano,1870,1859,166,8.9295,1420,76.3852,1832,97.9679,739,39.5187,181,9.6791,1678,89.7326,124,6.631,0,0,1870,100,4.9261,0.3284,37.8088,16.058,2.5242,14.4468,100,0,26.6917,47.1536,0,Norte
4,Coquimbo,41,Elqui,4106,Vicuña,9842,9785,1027,10.4957,4415,45.1201,9606,97.6021,4086,41.516,3893,39.555,8096,82.2597,761,7.7322,5682,57.7322,4160,42.2678,4.9937,0.3649,32.3622,15.626,2.3021,16.1964,39.8391,33.7068,26.719,50.8506,5.7146,Norte
4,Coquimbo,42,Choapa,4201,Illapel,11593,11545,1446,12.5249,4647,40.2512,11398,98.318,5350,46.1485,5083,43.8454,9362,80.7556,658,5.6758,7321,63.1502,4272,36.8498,4.5515,0.2382,31.1069,17.1952,2.3849,15.3893,38.2269,35.3322,25.0756,49.1748,5.6079,Norte
4,Coquimbo,42,Choapa,4202,Canela,3779,3769,838,22.234,2388,63.359,3645,96.4541,1060,28.0497,493,13.0458,2873,76.0254,88,2.3287,758,20.0582,3021,79.9418,3.762,0.1067,19.7724,7.9142,2.4881,13.9227,30.1218,44.6797,26.9455,44.9974,4.6585,Norte
4,Coquimbo,42,Choapa,4203,Los Vilos,8543,8496,949,11.17,3578,42.1139,8344,97.6706,3527,41.2853,3805,44.5394,7106,83.1792,478,5.5952,6692,78.3331,1851,21.6669,5.5562,0.4942,33.6152,17.5711,2.2551,15.5626,38.3603,32.981,27.4607,50.6108,4.8861,Norte
4,Coquimbo,42,Choapa,4204,Salamanca,10058,10013,1337,13.3526,4710,47.0388,9795,97.3852,4408,43.8258,3803,37.8107,8106,80.5926,393,3.9073,5536,55.0408,4522,44.9592,4.3935,0.2141,28.7593,14.5989,3.1689,15.426,39.7309,33.5625,23.438,46.8261,5.8695,Norte
4,Coquimbo,43,Limarí,4301,Ovalle,42363,42016,4024,9.5773,16061,38.2259,41266,97.4105,17549,41.4253,21013,49.6022,35105,82.8671,2798,6.6048,33469,79.0053,8894,20.9947,4.6269,0.2892,33.2961,19.3777,1.6116,17.6402,40.0703,31.122,24.7181,49.8635,5.8461,Norte
4,Coquimbo,43,Limarí,4302,Combarbalá,5256,5246,1107,21.1018,2837,54.0793,5066,96.3851,1592,30.2892,1142,21.7275,3883,73.8775,249,4.7374,2085,39.6689,3171,60.3311,4.0569,0.2307,31.219,12.9714,4.419,15.8667,29.9048,42.7429,31.8857,50.6857,4.8381,Norte
4,Coquimbo,43,Limarí,4303,Monte Patria,11220,11198,1728,15.4313,7254,64.7794,10951,97.6025,3328,29.6613,2080,18.5383,9206,82.0499,271,2.4153,4907,43.7344,6313,56.2656,6.1309,0.3791,33.4077,11.0972,3.7823,17.9037,37.0027,34.2819,29.1704,49.6521,4.8707,Norte
