comuna,comuna_nombre,provincia,provincia_nombre,region,region_nombre,claro_4g_point_records_2025m03,entel_4g_point_records_2025m03,movistar_4g_point_records_2025m03,wom_4g_point_records_2025m03,mobile_4g_point_records_2025m03,mobile_4g_operators_present_2025m03,claro_5g_point_records_2025m03,entel_5g_point_records_2025m03,movistar_5g_point_records_2025m03,wom_5g_point_records_2025m03,mobile_5g_point_records_2025m03,mobile_5g_operators_present_2025m03
8103,Chiguayante,81,Concepción,8,Biobío,10,13,17,11,51,4,0,6,6,5,17,3
8104,Florida,81,Concepción,8,Biobío,5,10,7,12,34,4,0,3,4,5,12,3
8105,Hualqui,81,Concepción,8,Biobío,3,8,4,7,22,4,0,3,3,3,9,3
8106,Lota,81,Concepción,8,Biobío,3,18,6,21,48,4,0,7,5,5,17,3
8107,Penco,81,Concepción,8,Biobío,6,11,11,17,45,4,0,4,4,6,14,3
8108,San Pedro de La paz,81,Concepción,8,Biobío,16,42,16,35,109,4,14,4,8,7,33,4
8109,Santa Juana,81,Concepción,8,Biobío,1,9,6,13,29,4,0,3,4,3,10,3
8110,Talcahuano,81,Concepción,8,Biobío,27,45,35,48,155,4,14,6,9,7,36,4
8111,Tomé,81,Concepción,8,Biobío,16,32,14,24,86,4,0,3,3,10,16,3
8112,Hualpén,81,Concepción,8,Biobío,13,36,10,10,69,4,11,5,6,1,23,4
8201,Lebu,82,Arauco,8,Biobío,5,11,7,15,38,4,0,4,3,6,13,3
8202,Arauco,82,Arauco,8,Biobío,11,25,12,12,60,4,0,4,6,2,12,3
8203,Cañete,82,Arauco,8,Biobío,3,22,7,20,52,4,0,4,4,1,9,3
8204,Contulmo,82,Arauco,8,Biobío,6,6,6,4,22,4,0,3,5,2,10,3
8205,Curanilahue,82,Arauco,8,Biobío,2,10,7,18,37,4,0,4,5,7,16,3
8206,Los Álamos,82,Arauco,8,Biobío,3,8,6,14,31,4,0,3,5,4,12,3
8207,Tirúa,82,Arauco,8,Biobío,6,6,4,6,22,4,0,2,4,1,7,3
8301,Los Ángeles,83,Biobío,8,Biobío,30,103,43,64,240,4,0,4,5,5,14,3
8302,Antuco,83,Biobío,8,Biobío,3,4,4,4,15,4,0,0,2,1,3,2
8303,Cabrero,83,Biobío,8,Biobío,5,21,6,20,52,4,0,3,2,1,6,3
8304,Laja,83,Biobío,8,Biobío,2,14,4,12,32,4,0,4,3,6,13,3
8305,Mulchén,83,Biobío,8,Biobío,4,15,8,12,39,4,0,3,5,2,10,3
8306,Nacimiento,83,Biobío,8,Biobío,1,14,6,12,33,4,0,4,3,2,9,3
8307,Negrete,83,Biobío,8,Biobío,3,6,2,6,17,4,0,3,2,2,7,3
8308,Quilaco,83,Biobío,8,Biobío,2,4,4,6,16,4,0,2,3,2,7,3
8309,Quilleco,83,Biobío,8,Biobío,2,4,3,6,15,4,0,2,3,2,7,3
8310,San Rosendo,83,Biobío,8,Biobío,1,1,2,7,11,4,0,0,1,2,3,2
8311,Santa Bárbara,83,Biobío,8,Biobío,0,12,2,7,21,3,0,4,2,4,10,3
8312,Tucapel,83,Biobío,8,Biobío,3,8,6,8,25,4,0,4,3,2,9,3
8313,Yumbel,83,Biobío,8,Biobío,2,17,6,13,38,4,0,2,3,5,10,3
8314,Alto Biobío,83,Biobío,8,Biobío,1,3,4,2,10,4,0,0,2,0,2,1
9101,Temuco,91,Cautín,9,La Araucanía,36,79,56,124,295,4,0,12,32,9,53,3
9102,Carahue,91,Cautín,9,La Araucanía,3,15,11,9,38,4,0,4,7,2,13,3
9103,Cunco,91,Cautín,9,La Araucanía,6,6,7,15,34,4,0,3,3,4,10,3
9104,Curarrehue,91,Cautín,9,La Araucanía,4,4,3,2,13,4,0,1,0,1,2,2
9105,Freire,91,Cautín,9,La Araucanía,4,7,6,14,31,4,0,2,4,2,8,3
9106,Galvarino,91,Cautín,9,La Araucanía,2,8,5,14,29,4,0,3,4,1,8,3
9107,Gorbea,91,Cautín,9,La Araucanía,5,16,5,7,33,4,0,3,5,3,11,3
9108,Lautaro,91,Cautín,9,La Araucanía,5,14,6,18,43,4,0,4,4,2,10,3
9109,Loncoche,91,Cautín,9,La Araucanía,5,12,6,15,38,4,0,3,5,2,10,3
9110,Melipeuco,91,Cautín,9,La Araucanía,3,5,2,2,12,4,0,0,2,0,2,1
9111,Nueva Imperial,91,Cautín,9,La Araucanía,4,8,6,21,39,4,0,4,5,1,10,3
9112,Padre Las Casas,91,Cautín,9,La Araucanía,9,35,11,28,83,4,0,4,7,5,16,3
9113,Perquenco,91,Cautín,9,La Araucanía,1,4,3,5,13,4,0,3,2,1,6,3
9114,Pitrufquén,91,Cautín,9,La Araucanía,5,11,4,13,33,4,0,4,4,2,10,3
9115,Pucón,91,Cautín,9,La Araucanía,9,47,24,22,102,4,0,5,6,3,14,3
9116,Saavedra,91,Cautín,9,La Araucanía,5,11,8,9,33,4,0,3,4,3,10,3
9117,Teodoro Schmidt,91,Cautín,9,La Araucanía,4,6,4,9,23,4,0,3,3,2,8,3
9118,Toltén,91,Cautín,9,La Araucanía,7,6,4,3,20,4,0,3,4,1,8,3
9119,Vilcún,91,Cautín,9,La Araucanía,5,14,6,13,38,4,0,3,4,2,9,3
9120,Villarrica,91,Cautín,9,La Araucanía,11,39,23,27,100,4,0,3,6,3,12,3
9121,Cholchol,91,Cautín,9,La Araucanía,3,7,2,6,18,4,0,3,2,2,7,3
9201,Angol,92,Malleco,9,La Araucanía,10,27,10,19,66,4,0,4,7,1,12,3
9202,Collipulli,92,Malleco,9,La Araucanía,5,10,4,18,37,4,0,4,4,3,11,3
9203,Curacautín,92,Malleco,9,La Araucanía,7,8,4,13,32,4,0,4,4,2,10,3
9204,Ercilla,92,Malleco,9,La Araucanía,2,4,2,7,15,4,0,2,2,2,6,3
9205,Lonquimay,92,Malleco,9,La Araucanía,3,12,3,3,21,4,0,5,2,1,8,3
9206,Los Sauces,92,Malleco,9,La Araucanía,4,7,5,4,20,4,0,2,4,0,6,2
9207,Lumaco,92,Malleco,9,La Araucanía,3,7,6,4,20,4,0,2,5,1,8,3
9208,Purén,92,Malleco,9,La Araucanía,3,10,4,9,26,4,0,4,4,3,11,3
9209,Renaico,92,Malleco,9,La Araucanía,2,7,3,6,18,4,0,3,2,2,7,3
9210,Traiguén,92,Malleco,9,La Araucanía,6,9,4,10,29,4,0,3,4,3,10,3
9211,Victoria,92,Malleco,9,La Araucanía,6,23,8,17,54,4,0,4,4,4,12,3
10101,Puerto Montt,101,Llanquihue,10,Los Lagos,38,116,55,147,356,4,0,29,24,20,73,3
10102,Calbuco,101,Llanquihue,10,Los Lagos,8,19,9,25,61,4,0,6,5,5,16,3
10103,Cochamó,101,Llanquihue,10,Los Lagos,2,6,2,4,14,4,0,2,2,1,5,3
10104,Fresia,101,Llanquihue,10,Los Lagos,8,12,5,6,31,4,0,4,3,2,9,3
10105,Frutillar,101,Llanquihue,10,Los Lagos,5,13,7,8,33,4,0,4,4,4,12,3
10106,Los Muermos,101,Llanquihue,10,Los Lagos,7,18,5,7,37,4,0,3,3,1,7,3
10107,Llanquihue,101,Llanquihue,10,Los Lagos,3,8,4,12,27,4,0,3,2,5,10,3
10108,Maullín,101,Llanquihue,10,Los Lagos,2,10,4,13,29,4,0,3,3,4,10,3
10109,Puerto Varas,101,Llanquihue,10,Los Lagos,12,34,17,32,95,4,0,3,7,3,13,3
10201,Castro,102,Chiloé,10,Los Lagos,7,24,13,26,70,4,0,5,4,4,13,3
10202,Ancud,102,Chiloé,10,Los Lagos,10,19,13,25,67,4,0,3,4,3,10,3
10203,Chonchi,102,Chiloé,10,Los Lagos,6,16,7,16,45,4,0,3,4,4,11,3
10204,Curaco de Vélez,102,Chiloé,10,Los Lagos,2,2,2,4,10,4,0,0,2,2,4,2
10205,Dalcahue,102,Chiloé,10,Los Lagos,4,6,6,10,26,4,0,3,6,5,14,3
10206,Puqueldón,102,Chiloé,10,Los Lagos,1,5,1,8,15,4,0,0,0,2,2,1
10207,Queilén,102,Chiloé,10,Los Lagos,2,5,5,4,16,4,0,1,5,1,7,3
10208,Quellón,102,Chiloé,10,Los Lagos,5,16,10,21,52,4,0,3,5,4,12,3
10209,Quemchi,102,Chiloé,10,Los Lagos,4,7,2,9,22,4,0,6,2,3,11,3
10210,Quinchao,102,Chiloé,10,Los Lagos,2,4,4,9,19,4,0,1,2,2,5,3
10301,Osorno,103,Osorno,10,Los Lagos,22,67,32,65,186,4,0,4,3,3,10,3
10302,Puerto Octay,103,Osorno,10,Los Lagos,6,9,7,9,31,4,0,3,3,3,9,3
10303,Purranque,103,Osorno,10,Los Lagos,5,11,9,14,39,4,0,3,4,3,10,3
10304,Puyehue,103,Osorno,10,Los Lagos,8,13,10,8,39,4,0,3,4,2,9,3
10305,Río Negro,103,Osorno,10,Los Lagos,4,15,4,15,38,4,0,3,3,3,9,3
10306,San Juan de la Costa,103,Osorno,10,Los Lagos,5,13,6,8,32,4,0,2,4,4,10,3
