"quadkey","tile_x","tile_y","avg_d_mbps","avg_u_mbps","avg_lat_ms","avg_lat_down_ms","avg_lat_up_ms","tests","devices"
"2100331202210220",-70.22189999999999,-18.5135,116.48,22.724,48,1015,388,1,1
"2100331202210233",-70.20539999999998,-18.518700000000003,6.079,6.144,61,768,127,1,1
"2100331202210321",-70.1944,-18.5135,203.287,22.077,38,2107,1332,1,1
"2100331202210322",-70.1999,-18.518700000000003,261.095,41.737,17,483,283,1,1
"2100331202211222",-70.1779,-18.518700000000003,285.141,61.169,20,440,158,1,1
"2100331202212003",-70.2164,-18.5291,2.481,6.661,65,2891,889,4,1
"2100331202212023",-70.2164,-18.5395,0.397,1.76,47,,6888,1,1
"2100331202212031",-70.20539999999998,-18.534299999999998,100.758,19.626,45,1634,1025,9,1
"2100331202213001",-70.1724,-18.5239,171.607,12.36,29,2014,1514,14,2
"2100331202213010",-70.1669,-18.5239,0.439,1.794,21,9484,1745,1,1
"2100331202213012",-70.1669,-18.5291,0.647,6.223,31,6218,946,1,1
"2100331202213313",-70.1395,-18.5499,54.389,5.392,46,694,1154,1,1
"2100331202221301",-70.23830000000001,-18.5864,93.438,22.395,46,610,379,2,2
"2100331202302202",-70.13399999999999,-18.5499,89.321,33.385,44,257,318,1,1
"2100331202302213",-70.11749999999999,-18.5499,0.788,25.818,65,6225,507,1,1
"2100331202302320",-70.112,-18.5551,10.918,26.32,68,1550,479,2,1
"2100331202302332",-70.101,-18.5603,11.384,7.112,54,1831,3135,6,2
"2100331202320110",-70.101,-18.5656,19.672,5.618,60,2495,1451,66,1
"2100331202320111",-70.0955,-18.5656,3.666,2.382,62,2285,1448,2,1
"2100331202321003",-70.0845,-18.5708,29.239,3.354,48,776,1251,1,1
"2100331202321121",-70.0626,-18.576,113.568,54.774,58,832,406,4,1
"2100331202321130",-70.05710000000002,-18.576,77.899,46.401,59,803,503,1,1
"2100331202330022",-70.0461,-18.581200000000003,0.327,3.25,66,7768,3291,2,1
