"quadkey","tile_x","tile_y","avg_d_mbps","avg_u_mbps","avg_lat_ms","avg_lat_down_ms","avg_lat_up_ms","tests","devices"
"2100331202200003",-70.3043,-18.4874,514.849,412.396,26,391,400,52,22
"2100331202200010",-70.2988,-18.4822,473.89,397.326,27,180,142,75,23
"2100331202200011",-70.2933,-18.4822,566.851,503.908,16,295,101,29,17
"2100331202200012",-70.2988,-18.4874,408.272,352.722,14,130,274,34,15
"2100331202200013",-70.2933,-18.4874,373.753,282.632,18,234,373,35,8
"2100331202200020",-70.30980000000001,-18.4926,552.896,523.297,30,223,97,31,15
"2100331202200021",-70.3043,-18.4926,479.93,435.958,26,236,150,352,50
"2100331202200022",-70.30980000000001,-18.4978,580.788,517.588,21,123,78,39,19
"2100331202200023",-70.3043,-18.4978,477.463,433.65,15,193,155,116,27
"2100331202200030",-70.2988,-18.4926,437.546,394.068,29,351,228,62,19
"2100331202200031",-70.2933,-18.4926,390.121,412.558,19,366,345,90,21
"2100331202200032",-70.2988,-18.4978,472.736,399.04,16,445,226,131,43
"2100331202200033",-70.2933,-18.4978,627.727,595.789,26,145,83,26,9
"2100331202200100",-70.2878,-18.4822,417.19,367.426,36,473,617,27,18
"2100331202200101",-70.2823,-18.4822,503.896,463.065,21,234,99,46,16
"2100331202200102",-70.2878,-18.4874,373.059,225.479,31,403,130,62,16
"2100331202200103",-70.2823,-18.4874,384.931,358.316,20,439,98,81,26
"2100331202200110",-70.27680000000001,-18.4822,477.969,467.993,20,277,237,34,18
"2100331202200112",-70.27680000000001,-18.4874,502.022,521.371,26,224,172,19,13
"2100331202200120",-70.2878,-18.4926,465.952,411.006,24,219,193,46,18
"2100331202200121",-70.2823,-18.4926,439.161,418.962,21,330,212,52,20
"2100331202200122",-70.2878,-18.4978,290.756,204.281,7,344,1196,4,3
"2100331202200123",-70.2823,-18.4978,515.122,465.569,9,279,92,10,6
"2100331202200130",-70.27680000000001,-18.4926,344.801,263.686,21,213,63,17,5
"2100331202200131",-70.2713,-18.4926,814.26,764.938,5,27,14,2,2
"2100331202200200",-70.30980000000001,-18.5031,435.138,411.038,33,336,169,63,16
"2100331202200201",-70.3043,-18.5031,546.113,458.035,12,196,214,17,12
"2100331202200210",-70.2988,-18.5031,316.797,299.534,2,925,374,5,5
"2100331202200232",-70.2988,-18.518700000000003,247.72,312.325,4,222,131,1,1
"2100331202200300",-70.2878,-18.5031,649.99,580.606,17,200,85,25,10
"2100331202200301",-70.2823,-18.5031,419.053,430.474,9,214,132,30,11
"2100331202200311",-70.2713,-18.5031,69.602,14.817,38,130,134,2,1
"2100331202200313",-70.2713,-18.5083,465.619,37.12,38,73,74,1,1
"2100331202200330",-70.27680000000001,-18.5135,139.987,10.195,61,248,128,1,1
"2100331202200331",-70.2713,-18.5135,240.645,10.351,57,370,120,2,1
"2100331202201020",-70.2658,-18.4926,11.659,18.044,6,392,772,2,1
"2100331202201022",-70.2658,-18.4978,37.65,1.847,33,614,494,2,2
"2100331202201023",-70.2603,-18.4978,386.923,333.798,28,157,71,3,2
"2100331202201032",-70.2548,-18.4978,267.427,408.236,51,268,289,5,1
"2100331202201033",-70.2493,-18.4978,34.873,21.775,8,35,104,2,1
"2100331202201200",-70.2658,-18.5031,450.924,390.023,8,215,184,9,2
"2100331202201201",-70.2603,-18.5031,48.464,6.327,11,260,291,34,1
"2100331202201202",-70.2658,-18.5083,160.667,10.351,60,342,141,2,1
"2100331202201203",-70.2603,-18.5083,49.523,14.439,40,466,1695,4,2
"2100331202201210",-70.2548,-18.5031,385.316,329.286,29,195,71,2,2
"2100331202201211",-70.2493,-18.5031,105.944,30.089,23,259,416,11,2
"2100331202201220",-70.2658,-18.5135,99.414,7.392,64,311,182,1,1
"2100331202201231",-70.2493,-18.5135,182.467,31.196,39,113,69,1,1
"2100331202201301",-70.23830000000001,-18.5031,57.429,47.714,9,267,583,4,1
"2100331202201313",-70.2274,-18.5083,36.511,0.854,16,165,209,1,1
"2100331202201321",-70.23830000000001,-18.5135,6.221,11.027,57,270,151,2,1
"2100331202203231",-70.2493,-18.5551,136.476,29.969,42,115,46,1,1
"2100331202210213",-70.20539999999998,-18.5083,138.031,13.057,38,130,57,2,1
"2100331202210221",-70.2164,-18.5135,21.639,4.453,38,427,926,1,1
"2100331202210230",-70.2109,-18.5135,58.405,26.61,38,199,222,8,1
"2100331202210303",-70.1944,-18.5083,69.557,17.798,42,94,44,1,1
"2100331202210332",-70.18889999999999,-18.518700000000003,35.981,19.186,52,808,638,6,1
"2100331202211222",-70.1779,-18.518700000000003,236.892,10.367,60,350,135,7,2
"2100331202211223",-70.1724,-18.518700000000003,587.596,10.471,57,251,122,1,1
"2100331202212000",-70.22189999999999,-18.5239,248.774,29.165,39,82,53,3,2
"2100331202212031",-70.20539999999998,-18.534299999999998,133.539,21.723,32,263,254,8,4
"2100331202213310",-70.14500000000001,-18.5447,23.122,7.353,24,270,290,13,1
"2100331202213313",-70.1395,-18.5499,256.517,35.058,39,120,46,2,1
"2100331202221011",-70.2493,-18.5656,46.624,21.146,23,98,1225,2,2
"2100331202221031",-70.2493,-18.576,200.551,25.793,37,75,51,5,1
"2100331202221033",-70.2493,-18.581200000000003,68.195,8.289,36,114,94,1,1
"2100331202221122",-70.2438,-18.581200000000003,224.248,27.128,39,129,52,6,1
"2100331202221231",-70.2493,-18.596799999999998,252.627,17.31,36,42,46,1,1
"2100331202221300",-70.2438,-18.5864,40.664,14.67,17,111,33,1,1
"2100331202221303",-70.23830000000001,-18.5916,123.152,16.17,37,165,148,9,2
"2100331202221313",-70.2274,-18.5916,39.178,26.014,14,80,850,1,1
"2100331202223211",-70.2493,-18.628,135.755,24.26,47,106,89,1,1
"2100331202300123",-70.1065,-18.4978,238.823,40.347,36,71,40,2,2
"2100331202302320",-70.112,-18.5551,37.042,37.563,18,228,336,4,1
"2100331202330133",-70.0076,-18.581200000000003,14.98,9.901,164,451,1231,6,1
"2100331202331121",-69.9747,-18.576,224.996,36.682,40,201,55,6,2
"2100331202331201",-69.99660000000002,-18.5864,3.517,3.164,122,3052,1728,2,1
"2100331210203002",-69.56269999999999,-18.1954,83.256,39.151,30,133,76,1,1
"2100331210203003",-69.5572,-18.1954,266.008,34.389,45,70,48,2,1
"2100331210210221",-69.5132,-18.1798,122.302,23.322,39,242,138,2,1
"2100331210210230",-69.5078,-18.1798,241.563,40.886,40,95,46,5,2
"2100331211221310",-69.17819999999999,-18.2528,74.814,12.7,71,173,112,1,1
"2100331212032221",-69.5132,-18.471799999999998,341.681,35.169,47,106,64,2,1
"2100331220020223",-70.3043,-18.7685,275.751,28.676,44,160,77,3,1
