region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,hogares_total,hogares_validos_internet,hogares_sin_internet_n,hogares_sin_internet_pct,hogares_trampa_movil_n,hogares_trampa_movil_pct,hogares_con_tel_movil_n,hogares_con_tel_movil_pct,hogares_con_computador_n,hogares_con_computador_pct,hogares_con_internet_fija_n,hogares_con_internet_fija_pct,hogares_con_internet_movil_n,hogares_con_internet_movil_pct,hogares_con_internet_satelital_n,hogares_con_internet_satelital_pct,hogares_urbanos_n,hogares_urbanos_pct,hogares_rurales_n,hogares_rurales_pct
5,Valparaíso,53,Los Andes,5302,Calle Larga,5769,5760,383,6.6493,1634,28.3681,5690,98.6306,2929,50.7714,3624,62.8185,5050,87.5368,291,5.0442,4238,73.4616,1531,26.5384
5,Valparaíso,53,Los Andes,5303,Rinconada,4046,4039,336,8.3189,1132,28.0267,3964,97.9733,2052,50.7168,2458,60.7514,3463,85.5907,317,7.8349,3081,76.1493,965,23.8507
5,Valparaíso,53,Los Andes,5304,San Esteban,7132,7115,524,7.3647,2028,28.5032,7008,98.2614,3745,52.5098,4445,62.3247,6190,86.7919,334,4.6831,3906,54.7672,3226,45.2328
5,Valparaíso,54,Petorca,5401,La Ligua,14322,14264,1249,8.7563,6442,45.1626,14060,98.1706,6275,43.8137,6281,43.8556,12275,85.7073,705,4.9225,9181,64.1042,5141,35.8958
5,Valparaíso,54,Petorca,5402,Cabildo,6779,6767,666,9.8419,3480,51.426,6651,98.1118,3170,46.7621,2519,37.1589,5804,85.6173,304,4.4844,3955,58.3419,2824,41.6581
5,Valparaíso,54,Petorca,5403,Papudo,2715,2681,128,4.7743,1207,45.0205,2684,98.8582,1385,51.0129,1269,46.7403,2515,92.6335,172,6.3352,2115,77.9006,600,22.0994
5,Valparaíso,54,Petorca,5404,Petorca,3820,3814,431,11.3005,2593,67.9864,3735,97.7749,1551,40.6021,744,19.4764,3320,86.911,82,2.1466,1426,37.3298,2394,62.6702
5,Valparaíso,54,Petorca,5405,Zapallar,2815,2799,185,6.6095,1308,46.731,2777,98.6501,1432,50.8703,1198,42.5577,2511,89.2007,266,9.4494,1727,61.3499,1088,38.6501
5,Valparaíso,55,Quillota,5501,Quillota,33899,33617,2039,6.0654,8719,25.9363,33151,97.7934,17490,51.5944,22472,66.291,29512,87.0586,1387,4.0916,29286,86.3919,4613,13.6081
5,Valparaíso,55,Quillota,5502,Calera,17536,17369,1455,8.377,4775,27.4915,16992,96.8978,7987,45.5463,10922,62.2833,14378,81.9913,729,4.1572,16739,95.4551,797,4.5449
5,Valparaíso,55,Quillota,5503,Hijuelas,6682,6619,645,9.7447,3378,51.0349,6524,97.6354,2753,41.2002,2522,37.7432,5781,86.516,260,3.8911,4711,70.5028,1971,29.4972
5,Valparaíso,55,Quillota,5504,La Cruz,8582,8567,397,4.6341,1631,19.0382,8496,98.9979,5553,64.7052,6368,74.2018,7709,89.8275,619,7.2128,7450,86.8096,1132,13.1904
5,Valparaíso,55,Quillota,5506,Nogales,7534,7486,784,10.4729,2878,38.4451,7389,98.0754,3119,41.399,3701,49.124,6393,84.8553,393,5.2164,6138,81.4707,1396,18.5293
5,Valparaíso,56,San Antonio,5601,San Antonio,34941,34673,2567,7.4035,11736,33.8477,33990,97.2783,15391,44.0485,19851,56.8129,29851,85.4326,1737,4.9712,33050,94.588,1891,5.412
5,Valparaíso,56,San Antonio,5602,Algarrobo,6448,6404,292,4.5597,2631,41.0837,6348,98.4491,3636,56.3896,3308,51.3027,5802,89.9814,458,7.103,4493,69.6805,1955,30.3195
5,Valparaíso,56,San Antonio,5603,Cartagena,9318,9228,977,10.5873,3938,42.6745,9052,97.1453,3156,33.8699,4183,44.8916,7752,83.1938,518,5.5591,8518,91.4145,800,8.5855
5,Valparaíso,56,San Antonio,5604,El Quisco,7727,7665,387,5.0489,3155,41.1611,7562,97.8646,3355,43.4192,3986,51.5854,6889,89.1549,457,5.9143,7043,91.1479,684,8.8521
5,Valparaíso,56,San Antonio,5605,El Tabo,6787,6714,422,6.2854,3202,47.6914,6673,98.3203,2725,40.1503,2990,44.0548,6017,88.6548,375,5.5253,6492,95.6535,295,4.3465
5,Valparaíso,56,San Antonio,5606,Santo Domingo,4663,4641,322,6.9382,1713,36.9101,4583,98.2844,2654,56.9161,2445,52.4341,3957,84.8595,311,6.6695,2406,51.5977,2257,48.4023
5,Valparaíso,57,San Felipe de Aconcagua,5701,San Felipe,29681,29457,2142,7.2716,9185,31.181,28956,97.5574,14623,49.2672,17733,59.7453,25432,85.6844,1497,5.0436,25935,87.3791,3746,12.6209
5,Valparaíso,57,San Felipe de Aconcagua,5702,Catemu,4928,4913,677,13.7798,2975,60.5536,4815,97.707,1677,34.03,1108,22.4838,4087,82.9343,237,4.8093,2849,57.8125,2079,42.1875
5,Valparaíso,57,San Felipe de Aconcagua,5703,Llaillay,8937,8901,861,9.6731,3586,40.2876,8665,96.9565,3915,43.8066,4309,48.2153,7566,84.6593,461,5.1583,6234,69.755,2703,30.245
5,Valparaíso,57,San Felipe de Aconcagua,5704,Panquehue,2442,2436,206,8.4565,1181,48.4811,2403,98.4029,1006,41.1957,976,39.9672,2175,89.0663,135,5.5283,878,35.9541,1564,64.0459
5,Valparaíso,57,San Felipe de Aconcagua,5705,Putaendo,6049,6025,644,10.6888,2957,49.0788,5883,97.2557,2707,44.7512,2263,37.4111,5125,84.7247,358,5.9183,2700,44.6355,3349,55.3645
5,Valparaíso,57,San Felipe de Aconcagua,5706,Santa María,5362,5352,636,11.8834,2145,40.0785,5176,96.5311,2216,41.3279,2452,45.7292,4484,83.6255,284,5.2965,3334,62.1783,2028,37.8217
5,Valparaíso,58,Marga Marga,5801,Quilpué,59724,59186,2893,4.888,11591,19.584,58440,97.8501,35909,60.1249,44365,74.2834,52585,88.0467,2330,3.9013,58396,97.7764,1328,2.2236
5,Valparaíso,58,Marga Marga,5802,Limache,19916,19706,1293,6.5615,6285,31.8938,19355,97.1832,10186,51.1448,11713,58.812,17132,86.0213,1087,5.4579,16042,80.5483,3874,19.4517
5,Valparaíso,58,Marga Marga,5803,Olmué,7450,7416,667,8.9941,3493,47.1009,7280,97.7181,3444,46.2282,2955,39.6644,6382,85.6644,541,7.2617,5193,69.7047,2257,30.2953
5,Valparaíso,58,Marga Marga,5804,Villa Alemana,50084,49852,1971,3.9537,8399,16.8479,49289,98.4127,31567,63.0281,39247,78.3624,44922,89.6933,1619,3.2326,49497,98.828,587,1.172
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6101,Rancagua,92917,92195,5168,5.6055,20075,21.7745,90793,97.7141,51237,55.1428,66245,71.2948,79606,85.6743,3747,4.0326,89987,96.8466,2930,3.1534
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6102,Codegua,4660,4648,439,9.4449,1716,36.9191,4580,98.2833,2230,47.8541,2238,48.0258,3901,83.7124,445,9.5494,2603,55.8584,2057,44.1416
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6103,Coinco,2796,2791,350,12.5403,1241,44.4643,2711,96.9599,1237,44.2418,1106,39.5565,2332,83.4049,232,8.2976,1158,41.4163,1638,58.5837
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6104,Coltauco,7553,7519,1100,14.6296,3018,40.1383,7367,97.5374,3108,41.1492,3146,41.6523,5835,77.2541,506,6.6993,3971,52.5751,3582,47.4249
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6105,Doñihue,7708,7684,760,9.8907,3053,39.7319,7540,97.8204,3609,46.8215,3781,49.0529,6566,85.1842,329,4.2683,5875,76.2195,1833,23.7805
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6106,Graneros,12187,12086,683,5.6512,3030,25.0703,11902,97.6614,5976,49.0359,8251,67.7033,10172,83.466,480,3.9386,10836,88.9144,1351,11.0856
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6107,Las Cabras,9846,9801,1056,10.7744,5689,58.0451,9630,97.8062,3766,38.249,2720,27.6254,8429,85.6084,475,4.8243,3465,35.192,6381,64.808
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6108,Machalí,20491,20424,698,3.4175,3785,18.5321,20234,98.7458,14042,68.5276,15668,76.4628,18477,90.1713,1575,7.6863,20001,97.6087,490,2.3913
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6109,Malloa,4937,4930,623,12.6369,2768,56.146,4812,97.4681,2012,40.7535,1424,28.8434,4171,84.4845,200,4.051,1943,39.3559,2994,60.6441
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6110,Mostazal,9140,9105,733,8.0505,2858,31.3893,8904,97.4179,4450,48.6871,5347,58.5011,7782,85.1422,517,5.6565,7138,78.0963,2002,21.9037
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6111,Olivar,4713,4699,407,8.6614,1766,37.5825,4618,97.9843,2446,51.899,2401,50.9442,4083,86.6327,277,5.8774,3192,67.7276,1521,32.2724
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6112,Peumo,4867,4858,585,12.042,1454,29.93,4727,97.1235,2151,44.1956,2782,57.1605,3949,81.1383,123,2.5272,4154,85.3503,713,14.6497
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6113,Pichidegua,7253,7241,1008,13.9207,3341,46.14,7067,97.4355,2776,38.2738,2651,36.5504,5858,80.7666,479,6.6042,2643,36.4401,4610,63.5599
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6114,Quinta de Tilcoco,4856,4855,626,12.8939,2346,48.3213,4772,98.2702,2103,43.3072,1632,33.6079,4066,83.7315,310,6.3839,2795,57.5577,2061,42.4423
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6115,Rengo,22445,22307,1927,8.6385,7116,31.9003,21918,97.652,10761,47.9439,12922,57.5718,19031,84.7895,1012,4.5088,17979,80.1025,4466,19.8975
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6116,Requínoa,9858,9821,876,8.9197,3293,33.5302,9633,97.7176,4908,49.787,5480,55.5894,8360,84.8042,360,3.6519,6438,65.3074,3420,34.6926
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6117,San Vicente,17860,17808,1873,10.5177,6806,38.2188,17438,97.6372,8215,45.9966,8602,48.1635,14844,83.1131,1144,6.4054,9745,54.5633,8115,45.4367
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6201,Pichilemu,7752,7687,657,8.5469,3078,40.0416,7585,97.8457,3715,47.9231,3729,48.1037,6643,85.694,457,5.8953,5925,76.4319,1827,23.5681
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6202,La Estrella,1814,1811,215,11.8719,1223,67.5318,1782,98.2359,714,39.3605,309,17.0342,1562,86.108,90,4.9614,512,28.2249,1302,71.7751
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6203,Litueche,3410,3407,383,11.2416,2315,67.9483,3339,97.9179,1463,42.9032,579,16.9795,2985,87.5367,172,5.044,1268,37.1848,2142,62.8152
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6204,Marchihue,3307,3300,552,16.7273,1940,58.7879,3188,96.4016,1340,40.5201,661,19.9879,2679,81.01,203,6.1385,902,27.2755,2405,72.7245
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6205,Navidad,3678,3668,565,15.4035,2065,56.2977,3552,96.5742,1434,38.9886,773,21.0169,2967,80.6688,356,9.6792,453,12.3165,3225,87.6835
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6206,Paredones,2857,2852,641,22.4755,1899,66.5849,2717,95.0998,894,31.2916,237,8.2954,2171,75.9888,99,3.4652,693,24.2562,2164,75.7438
6,Libertador General Bernardo O'Higgins,63,Colchagua,6301,San Fernando,27372,27248,1990,7.3033,7771,28.5195,26729,97.6509,13671,49.9452,17171,62.732,23445,85.6532,1250,4.5667,23877,87.2315,3495,12.7685
6,Libertador General Bernardo O'Higgins,63,Colchagua,6302,Chépica,5533,5528,855,15.4667,3020,54.631,5392,97.4517,2107,38.0806,1503,27.1643,4493,81.2037,193,3.4882,3098,55.9913,2435,44.0087
6,Libertador General Bernardo O'Higgins,63,Colchagua,6303,Chimbarongo,13280,13270,1559,11.7483,6033,45.4635,13013,97.9895,5651,42.5527,5340,40.2108,11062,83.2982,754,5.6777,8692,65.4518,4588,34.5482
6,Libertador General Bernardo O'Higgins,63,Colchagua,6304,Lolol,2898,2894,531,18.3483,1785,61.6793,2805,96.7909,1119,38.6128,520,17.9434,2293,79.1235,78,2.6915,887,30.6073,2011,69.3927
6,Libertador General Bernardo O'Higgins,63,Colchagua,6305,Nancagua,6523,6504,710,10.9164,2785,42.8198,6402,98.145,2667,40.8861,2944,45.1326,5453,83.5965,170,2.6062,4210,64.5409,2313,35.4591
6,Libertador General Bernardo O'Higgins,63,Colchagua,6306,Palmilla,4455,4449,591,13.2839,1762,39.6044,4357,97.8002,1787,40.1122,1867,41.908,3533,79.3042,410,9.2031,1129,25.3423,3326,74.6577
6,Libertador General Bernardo O'Higgins,63,Colchagua,6307,Peralillo,4486,4481,497,11.0913,2204,49.1854,4392,97.9046,1968,43.8698,1743,38.8542,3851,85.8449,56,1.2483,2336,52.0731,2150,47.9269
6,Libertador General Bernardo O'Higgins,63,Colchagua,6308,Placilla,3288,3282,371,11.3041,1624,49.482,3209,97.5973,1320,40.146,1198,36.4355,2784,84.6715,175,5.3224,814,24.7567,2474,75.2433
6,Libertador General Bernardo O'Higgins,63,Colchagua,6309,Pumanque,1777,1777,290,16.3196,1306,73.4947,1731,97.4114,622,35.0028,124,6.9781,1468,82.6111,76,4.2769,0,0,1777,100
6,Libertador General Bernardo O'Higgins,63,Colchagua,6310,Santa Cruz,14864,14817,1503,10.1438,5832,39.3602,14571,98.0288,6967,46.8716,7047,47.4098,12504,84.1227,780,5.2476,8880,59.7417,5984,40.2583
7,Maule,71,Talca,7101,Talca,85310,84579,5280,6.2427,20721,24.499,83740,98.1597,48939,57.3661,58220,68.2452,73793,86.4998,2806,3.2892,81197,95.1788,4113,4.8212
7,Maule,71,Talca,7102,Constitución,17599,17522,2259,12.8924,8750,49.9372,17109,97.2158,7066,40.15,6308,35.8429,14560,82.732,602,3.4206,14249,80.9648,3350,19.0352
7,Maule,71,Talca,7103,Curepto,3791,3781,1046,27.6646,2003,52.9754,3658,96.4917,1193,31.4693,649,17.1195,2644,69.7441,203,5.3548,1238,32.6563,2553,67.3437
7,Maule,71,Talca,7104,Empedrado,1464,1462,246,16.8263,1085,74.2134,1434,97.9508,540,36.8852,119,8.1284,1202,82.1038,18,1.2295,984,67.2131,480,32.7869
7,Maule,71,Talca,7105,Maule,20409,20346,1246,6.1241,5976,29.3719,20124,98.6036,11495,56.3232,12905,63.2319,17767,87.0547,858,4.204,15935,78.0783,4474,21.9217
7,Maule,71,Talca,7106,Pelarco,3247,3142,404,12.8581,1858,59.1343,3206,98.7373,1240,38.1891,833,25.6545,2696,83.0305,110,3.3877,877,27.0095,2370,72.9905
7,Maule,71,Talca,7107,Pencahue,3423,3419,568,16.613,1821,53.2612,3345,97.7213,1345,39.293,966,28.2209,2787,81.4198,122,3.5641,1040,30.3827,2383,69.6173
7,Maule,71,Talca,7108,Río Claro,5132,5123,700,13.6639,3025,59.0474,5031,98.032,1861,36.2627,1309,25.5066,4237,82.5604,165,3.2151,1280,24.9415,3852,75.0585
7,Maule,71,Talca,7109,San Clemente,16662,16614,1957,11.7792,8080,48.6337,16317,97.9294,6482,38.9029,6235,37.4205,13868,83.2313,857,5.1434,8874,53.2589,7788,46.7411
7,Maule,71,Talca,7110,San Rafael,3925,3917,474,12.1011,2260,57.6972,3854,98.1911,1674,42.6497,1084,27.6178,3304,84.1783,162,4.1274,2023,51.5414,1902,48.4586
7,Maule,72,Cauquenes,7201,Cauquenes,16229,16172,2999,18.5444,6080,37.5958,15776,97.2087,6280,38.6962,6922,42.652,11847,72.999,416,2.5633,12736,78.4768,3493,21.5232
