region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,hogares_total,pct_hacinamiento,pct_hacinamiento_critico,pct_no_propietario,pct_arrendatario,pct_tenencia_irregular,pct_monoparental,pct_hogares_con_nna,pct_hogares_con_mayores,pct_hogares_con_discapacidad,pct_jefatura_femenina,pct_hogares_multigeneracionales
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6110,Mostazal,9140,6.8182,0.5254,34.1126,15.4319,2.6342,14.3672,42.7176,32.1589,27.5601,51.0592,6.355
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6111,Olivar,4713,5.1791,0.2374,36.6398,16.8224,2.3152,13.1266,40.9728,32.3704,25.8921,43.7128,5.5013
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6112,Peumo,4867,5.9786,0.5874,30.0576,12.8906,2.7549,14.7204,38.384,36.2664,31.9285,46.9367,6.3528
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6113,Pichidegua,7253,6.1022,0.2265,26.5728,9.8096,3.3526,12.9001,37.9001,37.0861,29.5254,45.0055,5.3808
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6114,Quinta de Tilcoco,4856,5.513,0.3619,30.2718,14.6005,1.2974,14.3122,37.4176,33.9168,31.2809,46.0873,5.6013
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6115,Rengo,22445,5.7073,0.3209,31.8471,18.802,2.7218,16.6129,41.6062,29.264,25.8752,51.1997,4.7274
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6116,Requínoa,9858,5.7315,0.3634,29.8586,13.9225,1.3322,13.8005,42.9777,29.0756,24.3466,43.8117,5.0036
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6117,San Vicente,17860,5.2007,0.4344,35.4208,18.1645,4.3393,15.1315,37.5904,35.2357,29.3827,47.138,6.1333
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6201,Pichilemu,7752,4.3444,0.3141,42.0522,24.1406,3.5927,13.1688,34.8281,30.9512,24.7997,49.4055,3.4247
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6202,La Estrella,1814,5.157,0.3363,30.1876,8.6645,4.5806,10.6512,100,0,27.3179,40.3422,0
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6203,Litueche,3410,5.5838,0.5375,29.4308,14.4953,2.054,10.9742,33.8322,36.6197,30.3991,44.1021,4.284
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6204,Marchihue,3307,5.3555,0.3386,27.2094,11.8644,1.9068,11.6223,33.0811,36.9552,30.115,44.0678,4.54
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6205,Navidad,3678,4.7133,0.2481,30.7567,14.1807,3.2934,10.4518,29.3413,39.276,24.4148,44.7469,3.6745
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6206,Paredones,2857,4.1711,0.2121,28.6664,8.3304,7.0704,11.5856,29.8915,41.4071,33.5317,41.4771,4.7602
6,Libertador General Bernardo O'Higgins,63,Colchagua,6301,San Fernando,27372,5.1006,0.2679,34.8425,22.2967,3.1465,17.0879,39.956,30.7949,28.1026,53.1502,4.7216
6,Libertador General Bernardo O'Higgins,63,Colchagua,6302,Chépica,5533,5.433,0.204,24.0282,9.6728,2.8928,15.0606,37.1,36.883,27.6984,47.6044,5.3336
6,Libertador General Bernardo O'Higgins,63,Colchagua,6303,Chimbarongo,13280,5.7615,0.4,30.5039,12.0133,4.4588,15.7867,39.0148,31.9349,30.8503,45.5525,4.9107
6,Libertador General Bernardo O'Higgins,63,Colchagua,6304,Lolol,2898,5.9197,0.1762,28.9955,11.0459,3.7625,11.9779,34.3459,38.2465,27.0625,41.146,4.4874
6,Libertador General Bernardo O'Higgins,63,Colchagua,6305,Nancagua,6523,6.2639,0.3985,29.2619,15.3905,4.097,16.081,40.31,32.162,26.7915,49.2865,4.7721
6,Libertador General Bernardo O'Higgins,63,Colchagua,6306,Palmilla,4455,5.7821,0.3916,22.4568,8.3539,2.9643,12.3288,39.7709,36.3575,34.0669,41.1633,6.5349
