dataset_id,reference_year,survey_wave,variable,variable_label,category_code,category_label,n_unweighted,pct_unweighted,household_weight,household_weighted_n,household_weighted_pct,person_weight,person_weighted_n,person_weighted_pct,cell_rule
2025_XII_bbddsubtel2025_031225,2025,XII,A11,A11.- Y ¿Cuál es la profesión o trabajo o actividad del principal sostenedor del hogar?,4.0,"4.Empleado administrativo medio y bajo, vendedor, secretaria, jefe sección. Técnico especializado, profesional independi",1412,28.24,FE_HOGAR,1851447.738,32.75949,FE_PERSONAS,4685093.291,33.9235,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A11,A11.- Y ¿Cuál es la profesión o trabajo o actividad del principal sostenedor del hogar?,2.0,"2.Oficio menor, obrero no calificado, jornalero, servicio doméstico con contrato",697,13.94,FE_HOGAR,652779.799,11.55028,FE_PERSONAS,1551999.998,11.23761,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A11,A11.- Y ¿Cuál es la profesión o trabajo o actividad del principal sostenedor del hogar?,5.0,"5.Ejecutivo medio (gerente, subgerente). Gerente general de empresa media o pequeña. Profesional independiente de carrer",366,7.32,FE_HOGAR,593009.749,10.49271,FE_PERSONAS,1598923.061,11.57737,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A11,A11.- Y ¿Cuál es la profesión o trabajo o actividad del principal sostenedor del hogar?,3.0,"3.Obrero calificado, capataz, Junior microempresario (kiosco, taxi, comercio menor, ambulante)",1750,35.0,FE_HOGAR,1848527.905,32.70783,FE_PERSONAS,4364032.842,31.59879,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_11,Aymara [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,4920,98.4,FE_HOGAR,5594391.493,98.9871,FE_PERSONAS,13653584.499,98.86193,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_11,Aymara [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],1.0,1.0,80,1.6,FE_HOGAR,57245.509,1.0129,FE_PERSONAS,157176.501,1.13807,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_3,Quechua [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,4985,99.7,FE_HOGAR,5641113.855,99.8138,FE_PERSONAS,13783905.63,99.80555,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_4,Mapuche [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,4490,89.8,FE_HOGAR,5142433.452,90.99016,FE_PERSONAS,12527957.204,90.71156,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_4,Mapuche [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],1.0,1.0,510,10.2,FE_HOGAR,509203.55,9.00984,FE_PERSONAS,1282803.796,9.28844,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_5,Atacameño [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,4984,99.68,FE_HOGAR,5641913.087,99.82795,FE_PERSONAS,13782489.571,99.79529,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_6,Chango [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,4994,99.88,FE_HOGAR,5648901.56,99.9516,FE_PERSONAS,13802024.766,99.93674,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_7,Colla [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,4992,99.84,FE_HOGAR,5647031.883,99.91852,FE_PERSONAS,13799334.014,99.91726,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_8,Kawéskar [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,4999,99.98,FE_HOGAR,5646095.77,99.90195,FE_PERSONAS,13800448.174,99.92533,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_9,Selk’nam [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,4999,99.98,FE_HOGAR,5651291.902,99.99389,FE_PERSONAS,13809584.228,99.99148,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_111,Diaguita [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,4907,98.14,FE_HOGAR,5578846.116,98.71204,FE_PERSONAS,13616547.825,98.59375,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_111,Diaguita [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],1.0,1.0,93,1.86,FE_HOGAR,72790.886,1.28796,FE_PERSONAS,194213.175,1.40625,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_12,Afrodescendiente [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,4997,99.94,FE_HOGAR,5649490.828,99.96203,FE_PERSONAS,13804566.952,99.95515,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_13,Ninguno pertenece a pueblos indígenas o tribales [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],1.0,1.0,4277,85.54,FE_HOGAR,4983285.254,88.17419,FE_PERSONAS,12100389.809,87.61566,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_13,Ninguno pertenece a pueblos indígenas o tribales [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,723,14.46,FE_HOGAR,668351.747,11.82581,FE_PERSONAS,1710371.191,12.38434,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_1,Dificultad física y/o de movilidad [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],0.0,0.0,4521,90.42,FE_HOGAR,5108454.615,90.38894,FE_PERSONAS,12601779.151,91.24609,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_1,Dificultad física y/o de movilidad [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],1.0,1.0,479,9.58,FE_HOGAR,543182.387,9.61106,FE_PERSONAS,1208981.849,8.75391,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_2,Mudez o dificultad en el habla [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],0.0,0.0,4972,99.44,FE_HOGAR,5619586.816,99.4329,FE_PERSONAS,13732535.746,99.43359,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_3,Dificultad psiquiátrica [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],0.0,0.0,4918,98.36,FE_HOGAR,5559118.041,98.36297,FE_PERSONAS,13571069.995,98.26446,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_3,Dificultad psiquiátrica [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],1.0,1.0,82,1.64,FE_HOGAR,92518.961,1.63703,FE_PERSONAS,239691.005,1.73554,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_4,Dificultad mental o intelectual [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],0.0,0.0,4831,96.62,FE_HOGAR,5462162.56,96.64744,FE_PERSONAS,13365822.067,96.77832,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_4,Dificultad mental o intelectual [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],1.0,1.0,169,3.38,FE_HOGAR,189474.442,3.35256,FE_PERSONAS,444938.933,3.22168,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_5,Sordera o dificultad para oír aún usando audífonos [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],0.0,0.0,4864,97.28,FE_HOGAR,5434381.4,96.15588,FE_PERSONAS,13300631.793,96.30629,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_5,Sordera o dificultad para oír aún usando audífonos [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],1.0,1.0,136,2.72,FE_HOGAR,217255.602,3.84412,FE_PERSONAS,510129.207,3.69371,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_6,Ceguera o dificultad para ver aún usando lentes [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],0.0,0.0,4843,96.86,FE_HOGAR,5457038.961,96.55678,FE_PERSONAS,13381089.402,96.88886,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_6,Ceguera o dificultad para ver aún usando lentes [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],1.0,1.0,157,3.14,FE_HOGAR,194598.04,3.44322,FE_PERSONAS,429671.598,3.11114,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_7,No hay miembros con condición de larga duración [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],1.0,1.0,4112,82.24,FE_HOGAR,4607095.075,81.51789,FE_PERSONAS,11436104.182,82.80575,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_7,No hay miembros con condición de larga duración [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],0.0,0.0,888,17.76,FE_HOGAR,1044541.927,18.48211,FE_PERSONAS,2374656.818,17.19425,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_1,Trabaja con remuneración [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],1.0,1.0,3728,74.56,FE_HOGAR,4306077.134,76.19168,FE_PERSONAS,10951882.102,79.29963,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_1,Trabaja con remuneración [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],0.0,0.0,1272,25.44,FE_HOGAR,1345559.867,23.80832,FE_PERSONAS,2858878.898,20.70037,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_2,Trabaja sin remuneración [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],0.0,0.0,4772,95.44,FE_HOGAR,5418111.234,95.868,FE_PERSONAS,13198431.297,95.56629,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_2,Trabaja sin remuneración [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],1.0,1.0,228,4.56,FE_HOGAR,233525.768,4.132,FE_PERSONAS,612329.704,4.43371,published only when unweighted n >= 30
