indicador,ranking,region,nombre_region,comuna,nombre_comuna,N_ponderado,%
Sin internet,Bottom,5,Región de Valparaíso,5803,Olmué,20342,0
Sin internet,Bottom,12,Región de Magallanes y de la Antártica Chilena,12103,Río Verde,210,0
Sin internet,Bottom,2,Región de Antofagasta,2103,Sierra Gorda,1802,0
Sin internet,Bottom,12,Región de Magallanes y de la Antártica Chilena,12402,Torres del Paine,1080,0
Sin internet,Bottom,13,Región Metropolitana de Santiago,13114,Las Condes,344511,0.1106
Sin internet,Bottom,2,Región de Antofagasta,2102,Mejillones,15952,0.2696
Sin internet,Bottom,5,Región de Valparaíso,5103,Concón,48400,0.3926
Sin internet,Bottom,13,Región Metropolitana de Santiago,13123,Providencia,164384,0.393
Sin internet,Bottom,13,Región Metropolitana de Santiago,13124,Pudahuel,262173,0.3952
Sin internet,Bottom,5,Región de Valparaíso,5606,Santo Domingo,12673,0.4103
Sin internet,Bottom,13,Región Metropolitana de Santiago,13120,Ñuñoa,268286,0.4823
Sin internet,Bottom,13,Región Metropolitana de Santiago,13115,Lo Barnechea,131549,0.4964
Sin internet,Bottom,5,Región de Valparaíso,5702,Catemu,15767,0.5328
Sin internet,Bottom,13,Región Metropolitana de Santiago,13108,Independencia,154296,0.55
Sin internet,Bottom,13,Región Metropolitana de Santiago,13604,Padre Hurtado,82475,0.5905
Sin internet,Bottom,13,Región Metropolitana de Santiago,13119,Maipú,586960,0.6312
Sin internet,Bottom,13,Región Metropolitana de Santiago,13106,Estación Central,222676,0.6808
