reference_year,survey_wave,segment_dimension,segment_variable,segment_code,segment_label,n_unweighted,weighted_households,weighted_households_with_paid_access,paid_access_pct,household_weight,access_variable,access_yes_code,source_url,sav_file
2016,VIII,region,regionfinal,7.0,7. Maule,299,326398.0,217576.0,66.6597,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,region,regionfinal,8.0,8. Biobío,349,623496.0,448017.0,71.8556,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,region,regionfinal,9.0,9. Araucanía,304,306277.0,246324.0,80.4252,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,socioeconomic,Quintil_final,1.0,0 a 88.646,583,924364.0,667254.0,72.1852,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,socioeconomic,Quintil_final,2.0,88.647 a 146.042,680,1010087.0,739209.0,73.1827,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,socioeconomic,Quintil_final,3.0,146.043 a 221.979,892,1426840.0,1152251.0,80.7554,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,socioeconomic,Quintil_final,4.0,221.980 a 381.000,997,1273447.0,1054922.0,82.8399,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,socioeconomic,Quintil_final,5.0,381.001 y más,471,734038.0,643685.0,87.691,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,urban_rural,zona_cod,1.0,Urbana,3033,4639622.0,3772858.0,81.3182,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,urban_rural,zona_cod,2.0,Rural,590,729154.0,484463.0,66.4418,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2017,IX,national,,ALL,Chile,3600,6421347.5,5612177.8,87.3988,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,region,REGION,1.0,Región 1 De Tarapacá,100,118326.0,107302.4,90.6837,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,region,REGION,10.0,Región 10 De Los Lagos,300,327825.0,281929.5,86.0,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,region,REGION,11.0,Región 11 De Aisen,100,44602.0,32615.2,73.125,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,region,REGION,12.0,Región 12 De Magallanes,100,65049.0,60489.9,92.9913,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,region,REGION,13.0,Región 13 Metropolitana,500,2334479.0,2099608.0,89.939,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,region,REGION,14.0,Región 14 De Los Ríos,100,152887.0,124698.2,81.5623,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,region,REGION,15.0,Región 15 De Arica y Parinacota,100,73911.0,61368.6,83.0304,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,region,REGION,2.0,Región 2 De Antofagasta,300,191740.0,178153.5,92.9141,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,region,REGION,3.0,Región 3 De Atacama,100,120095.0,88196.0,73.4385,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,region,REGION,4.0,Region 4 De Coquimbo,300,305826.0,258933.7,84.667,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,region,REGION,5.0,Región 5 De Valparaíso,350,787395.0,705255.0,89.5681,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,region,REGION,6.0,Región 6 Del Lib. B'Ohiggins,300,349266.0,293085.7,83.9148,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,region,REGION,7.0,Región 7 Del Maule,300,410922.0,363977.4,88.5758,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,region,REGION,8.0,Región 8 Del Bio Bio,350,761796.0,648641.6,85.1464,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,region,REGION,9.0,Región 9 De La Araucanía,300,377228.5,307923.1,81.6277,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,socioeconomic,QUINTIL_PCD,1.0,Q1,602,987104.3,834190.5,84.5089,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,socioeconomic,QUINTIL_PCD,2.0,Q2,564,940224.2,775007.7,82.428,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,socioeconomic,QUINTIL_PCD,3.0,Q3,461,822207.4,691047.1,84.0478,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,socioeconomic,QUINTIL_PCD,4.0,Q4,412,646247.5,598667.7,92.6375,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,socioeconomic,QUINTIL_PCD,5.0,Q5,361,556837.5,509720.7,91.5385,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,socioeconomic,QUINTIL_PCD,99.0,99.0,1200,2468726.6,2203544.1,89.2583,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,urban_rural,ZONA,1.0,URBANO,3100,5530683.5,4929018.2,89.1213,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,urban_rural,ZONA,2.0,RURAL,500,890664.0,683159.6,76.7023,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2023,X,national,,ALL,Chile,4710,5651636.995,5332128.799,94.3466,FE_HOGAR,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav,source_2023_X.sav
2023,X,region,COD_REGION,1.0,1.- Región de Tarapacá,100,97693.0,91453.867,93.6135,FE_HOGAR,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav,source_2023_X.sav
2023,X,region,COD_REGION,10.0,10.- Región de los Lagos,430,277481.999,256089.382,92.2904,FE_HOGAR,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav,source_2023_X.sav
2023,X,region,COD_REGION,11.0,11.- Región de Aysen,100,34609.0,32878.55,95.0,FE_HOGAR,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav,source_2023_X.sav
2023,X,region,COD_REGION,12.0,12.- Región de Magallanes,100,53832.0,52712.422,97.9202,FE_HOGAR,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav,source_2023_X.sav
2023,X,region,COD_REGION,13.0,13.- Región Metropolitana de Santiago,540,2238178.998,2152172.315,96.1573,FE_HOGAR,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav,source_2023_X.sav
2023,X,region,COD_REGION,14.0,14.- Región de los Rios,170,128984.0,118438.342,91.8241,FE_HOGAR,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav,source_2023_X.sav
2023,X,region,COD_REGION,15.0,15.- Región de Arica y Parinacota,100,66842.0,65469.755,97.947,FE_HOGAR,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav,source_2023_X.sav
2023,X,region,COD_REGION,16.0,16.- Región del Ñuble,300,163737.999,141701.976,86.5419,FE_HOGAR,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav,source_2023_X.sav
2023,X,region,COD_REGION,2.0,2.- Región de Antofagasta,300,174314.0,169056.171,96.9837,FE_HOGAR,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav,source_2023_X.sav
2023,X,region,COD_REGION,3.0,3.- Región de Atacama,120,88706.0,82874.727,93.4263,FE_HOGAR,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav,source_2023_X.sav
2023,X,region,COD_REGION,4.0,4.- Región de Coquimbo,320,240317.0,234281.849,97.4887,FE_HOGAR,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav,source_2023_X.sav
2023,X,region,COD_REGION,5.0,5.- Región de Valparaíso,420,608949.0,571699.287,93.883,FE_HOGAR,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav,source_2023_X.sav
2023,X,region,COD_REGION,6.0,6.- Región del Libertador Bernardo Ohiggins,420,301717.001,292103.545,96.8138,FE_HOGAR,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav,source_2023_X.sav
2023,X,region,COD_REGION,7.0,7.- Región del Maule,430,351508.999,317912.758,90.4423,FE_HOGAR,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav,source_2023_X.sav
2023,X,region,COD_REGION,8.0,8.- Región del Bio-Bio,430,507241.001,469878.83,92.6342,FE_HOGAR,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav,source_2023_X.sav
2023,X,region,COD_REGION,9.0,9.- Región de la Araucanía,430,317524.999,283405.023,89.2544,FE_HOGAR,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav,source_2023_X.sav
2023,X,urban_rural,ZONA,1.0,URBANA,3320,4952298.997,4706427.319,95.0352,FE_HOGAR,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav,source_2023_X.sav
2023,X,urban_rural,ZONA,2.0,RURAL,1390,699337.999,625701.48,89.4705,FE_HOGAR,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav,source_2023_X.sav
2024,XI,national,,ALL,Chile,4700,5651636.996,5453850.885,96.5004,POND_HOGAR_FE,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2025/02/BBDD_Subtel2024_03022025.sav_.zip,BBDD_Subtel2024_03022025.sav
2024,XI,region,COD_REGION,1.0,1.- Región de Tarapacá,100,97693.0,92083.123,94.2576,POND_HOGAR_FE,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2025/02/BBDD_Subtel2024_03022025.sav_.zip,BBDD_Subtel2024_03022025.sav
2024,XI,region,COD_REGION,10.0,10.- Región de los Lagos,420,277481.999,250987.234,90.4517,POND_HOGAR_FE,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2025/02/BBDD_Subtel2024_03022025.sav_.zip,BBDD_Subtel2024_03022025.sav
2024,XI,region,COD_REGION,11.0,11.- Región de Aysen,100,34609.0,29301.963,84.6657,POND_HOGAR_FE,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2025/02/BBDD_Subtel2024_03022025.sav_.zip,BBDD_Subtel2024_03022025.sav
2024,XI,region,COD_REGION,12.0,12.- Región de Magallanes,100,53832.0,53272.211,98.9601,POND_HOGAR_FE,P1,1.0,https://www.subtel.gob.cl/wp-content/uploads/2025/02/BBDD_Subtel2024_03022025.sav_.zip,BBDD_Subtel2024_03022025.sav
