source_sheet,source_row,selection_group,rbd,establishment_name,region,sponsor_name,project,selection_status,waitlist_position,source_page,source_spreadsheet
Seleccionados AC 2025,28,selected,288,ESCUELA JAPÓN,DE ANTOFAGASTA,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,29,selected,297,ESCUELA ALCALDE MAXIMILIANO POBLETE,DE ANTOFAGASTA,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,30,selected,301,ESCUELA ROMULO J. PEÑA MATURANA,DE ANTOFAGASTA,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,31,selected,303,ESCUELA REPÚBLICA ARGENTINA,DE ANTOFAGASTA,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,32,selected,311,ESC. DIFERENCIAL JUAN SANDOVAL CARRASCO,DE ANTOFAGASTA,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,33,selected,312,ESCUELA ECUADOR,DE ANTOFAGASTA,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,34,selected,315,ESCUELA HÉROES DE LA CONCEPCIÓN,DE ANTOFAGASTA,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,35,selected,317,ESCUELA LAS ROCAS,DE ANTOFAGASTA,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,36,selected,318,ESCUELA EDDA CUNEO DONNAGIO,DE ANTOFAGASTA,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,37,selected,319,ESCUELA LA BANDERA,DE ANTOFAGASTA,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,38,selected,320,LICEO ARTISTICO DE ANTOFAGASTA ARMANDO CARRERA GONZÁLEZ,DE ANTOFAGASTA,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,39,selected,322,ESCUELA GENERAL MANUEL BAQUEDANO,DE ANTOFAGASTA,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,40,selected,324,ESCUELA FUNDACIÓN MINERA ESCONDIDA,DE ANTOFAGASTA,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,41,selected,326,ESCUELA SANTIAGO AMENGUAL B.,DE ANTOFAGASTA,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,42,selected,329,LICEO BICENTENARIO INSTITUTO JOSÉ MAZA SANCHO,DE ANTOFAGASTA,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,43,selected,330,ESCUELA DE PÁRVULOS LOS PINGUINITOS,DE ANTOFAGASTA,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,44,selected,333,ESCUELA DE PÁRVULOS BLANCA NIEVES,DE ANTOFAGASTA,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,45,selected,367,COMPLEJO EDUCATIVO JUAN JOSÉ LATORRE BENAVENTE,DE ANTOFAGASTA,ILUSTRE MUNICIPALIDAD DE MEJILLONES,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,46,selected,368,ESCUELA BÁSICA JULIA HERRERA VARAS,DE ANTOFAGASTA,ILUSTRE MUNICIPALIDAD DE MEJILLONES,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,47,selected,380,ESCUELA BÁSICA DIEGO PORTALES PALAZUELOS,DE ATACAMA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE ATACAMA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,48,selected,382,"ESCUELA GASPAR CABRALES, ARTÍSTICA Y DEPORTIVA",DE ATACAMA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE ATACAMA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,49,selected,386,ESCUELA ALIRO LAMAS CASTILLO,DE ATACAMA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE ATACAMA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,50,selected,401,ESCUELA BERNARDO O´HIGGINS,DE ATACAMA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE ATACAMA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,51,selected,403,ESCUELA LAURA ROBLES SILVA,DE ATACAMA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE ATACAMA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,52,selected,413,ESCUELA LAS BRISAS,DE ATACAMA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE ATACAMA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,53,selected,419,ESCUELA HERNÁN MÁRQUEZ HUERTA,DE ATACAMA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE ATACAMA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,54,selected,420,LICEO FERNANDO ARIZTÍA RUIZ,DE ATACAMA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE ATACAMA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,55,selected,423,ESCUELA SAN PEDRO,DE ATACAMA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE ATACAMA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,56,selected,438,LICEO MANUEL BLANCO ENCALADA,DE ATACAMA,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE ATACAMA,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,57,selected,486,LICEO JAPÓN,DE ATACAMA,SERVICIO LOCAL DE EDUCACIÓN PUBLICA DE HUASCO,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,58,selected,499,ESCUELA RICARDO CAMPILLAY CONTRERAS,DE ATACAMA,SERVICIO LOCAL DE EDUCACIÓN PUBLICA DE HUASCO,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,59,selected,518,LICEO TÉCNICO MARTA BRUNET,DE COQUIMBO,SERVICIO LOCAL DE EDUCACIÓN DEL ELQUI,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,60,selected,532,CEN. ED. INT. DE ADUL.ESTER VILLARREAL CASTILLO,DE COQUIMBO,SERVICIO LOCAL DE EDUCACIÓN DEL ELQUI,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,61,selected,536,COLEGIO DEPORTIVO OLIMPICO,DE COQUIMBO,SERVICIO LOCAL DE EDUCACIÓN DEL ELQUI,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
