selection_group,rbd,program_establishment_name,official_establishment_name,region_code,region_name,commune_code,commune_name,rural_rbd,latitude,longitude,dependency_code,dependency_group_code,enrollment_total,establishment_state,pie_agreement,pace,sponsor_name,project,selection_status,waitlist_position,program_source,directory_source
selected,239,ESCUELA BÁSICA 21 DE MAYO,ESCUELA BASICA 21 DE MAYO,2,ANTOF,2201,CALAMA,0,"-22,450781","-68,932007",6,5,666,1,1,0,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,241,ESCUELA PARVULARIA LAS ARDILLAS,ESCUELA PARVULARIA LAS ARDILLAS,2,ANTOF,2201,CALAMA,0,"-22,44329071","-68,92927551",6,5,197,1,1,0,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,269,ESCUELA BÁSICA SAN PEDRO DE ATACAMA,ESCUELA BASICA SAN PEDRO DE ATACAMA,2,ANTOF,2203,SAN PEDRO DE ATACAMA,0,"-22,912609","-68,196808",6,5,1009,1,1,0,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,286,LICEO LA PORTADA,LICEO LA PORTADA,2,ANTOF,2101,ANTOFAGASTA,0,"-23,60877","-70,381821",1,1,923,1,1,1,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,288,ESCUELA JAPÓN,ESCUELA JAPON,2,ANTOF,2101,ANTOFAGASTA,0,"-23,62619","-70,379997",1,1,881,1,1,0,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,297,ESCUELA ALCALDE MAXIMILIANO POBLETE,ESCUELA ALCALDE MAXIMILIANO POBLETE,2,ANTOF,2101,ANTOFAGASTA,0,"-23,661079","-70,39682",1,1,607,1,1,0,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,301,ESCUELA ROMULO J. PEÑA MATURANA,ESCUELA ROMULO J. PENA MATURANA,2,ANTOF,2101,ANTOFAGASTA,0,"-23,64414","-70,384552",1,1,607,1,1,0,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,303,ESCUELA REPÚBLICA ARGENTINA,ESCUELA REPUBLICA ARGENTINA,2,ANTOF,2101,ANTOFAGASTA,0,"-23,628611","-70,39312",1,1,508,1,1,0,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,311,ESC. DIFERENCIAL JUAN SANDOVAL CARRASCO,ESC DIFERENCIAL JUAN SANDOVAL CARRASCO,2,ANTOF,2101,ANTOFAGASTA,0,"-23,66712761","-70,39998627",1,1,227,1,0,0,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,312,ESCUELA ECUADOR,ESCUELA ECUADOR,2,ANTOF,2101,ANTOFAGASTA,0,"-23,634991","-70,395157",1,1,718,1,1,0,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
