dataset_id,reference_year,survey_wave,domain,score,variable,label,nonmissing_n,distinct_values,missing_pct,has_value_labels
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q34_3,2.- No lo necesito / no me sirve [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q34_4,3.- No le interesa utilizar internet por razones distintas a la utilidad que tiene para usted. [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q34_5,NET USABILIDAD [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q34_6,4.- No sé utilizar el computador y/o Smartphone [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q34_7,5.- No sé cómo utilizar el Internet [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q34_8,6.- No creo que sea capaz de aprender a usar el internet [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q34_9,7.- No me dan ganas de aprender a usarlo [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q34_10,8.- Otras personas navegan en Internet por mí / mis familiares me ayudan a usarlo [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q34_11,9.- Tengo una discapacidad / no puedo leer / tengo una limitación que me impide usarlo [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q34_14,11.- La conexión a Internet es muy cara [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q34_16,13.- La señal donde vivo es de muy mala calidad [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q34_17,14.- No tengo tiempo para usar Internet [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q34_18,NET OTROS [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
