reference_year,survey_wave,domain,score,variable,label,nonmissing_n,distinct_values,missing_pct,has_value_labels
2025,XII,devices,3,P2_1,"P2_1.- En este hogar, ¿cuántos computadores propios hay (desktop, notebook, Tablet)?",4841,12,3.18,True
2025,XII,devices,3,P3_2,P3_2 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Computador portátil (notebook / laptop o netbook),4841,3,3.18,True
2025,XII,devices,3,Q12_3,"Internet Móvil Con Plan O Bolsa De Gigas/Megas De Un Teléfono Móvil [Smartphone] / Tablet [Q12.- Qué tipo de acceso a Internet ha utilizado en los últimos 3 meses, tanto dentro como fuera del hogar? ¿Algún otro? ]",4731,2,5.38,False
2025,XII,devices,3,Q28_11,"11.- Equipos de computación, telecomunicaciones y accesorios (notebooks, smartphones, tablets) [Q28.- En los últimos 12 meses, ¿qué tipo de bienes o servicios compró u ordenó por Internet para su uso personal? ]",2613,2,47.74,False
2025,XII,devices,2,Q5,"Q5. En la última semana ¿utilizó usted algún computador? (Ya sea PC, Notebook o Netbook)",5000,2,0.0,True
2025,XII,digital_government,4,Q21_31,"27. realizar trámites para la obtención de certificados o beneficios del estado (bonos) [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025,XII,digital_government,3,Q26_CODIF_4,"Informarse de los beneficios del estado [Q26.- ¿En qué aspectos el acceso a Internet ha mejorado sus condiciones de vida, el ejercicio de derecho o el acceso a beneficios estatales (gobierno central, municipal, judicial, etc.)?]",1228,2,75.44,False
2025,XII,digital_government,3,Q26_CODIF_23,"Facilidad del tramite [Q26.- ¿En qué aspectos el acceso a Internet ha mejorado sus condiciones de vida, el ejercicio de derecho o el acceso a beneficios estatales (gobierno central, municipal, judicial, etc.)?]",1228,2,75.44,False
2025,XII,digital_government,3,Q26_CODIF_24,"Trámites más rápido [Q26.- ¿En qué aspectos el acceso a Internet ha mejorado sus condiciones de vida, el ejercicio de derecho o el acceso a beneficios estatales (gobierno central, municipal, judicial, etc.)?]",1228,2,75.44,False
2025,XII,digital_government,3,Q26_CODIF_32,"Varios tramites vía internet [Q26.- ¿En qué aspectos el acceso a Internet ha mejorado sus condiciones de vida, el ejercicio de derecho o el acceso a beneficios estatales (gobierno central, municipal, judicial, etc.)?]",1228,2,75.44,False
2025,XII,digital_government,3,Q26_CODIF_41,"Postulaciones a beneficios del estado [Q26.- ¿En qué aspectos el acceso a Internet ha mejorado sus condiciones de vida, el ejercicio de derecho o el acceso a beneficios estatales (gobierno central, municipal, judicial, etc.)?]",1228,2,75.44,False
2025,XII,digital_government,2,Q21_27,"23. descargar o solicitar formularios a organismos del estado [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025,XII,digital_government,2,Q21_29,"25. realizar consultas, solicitudes o reclamos a organismos del estado [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025,XII,digital_skills,2,Q8_1,"1.- Uso de procesador de texto (ej: Word) [Q8. Pensando en el uso del computador y o smartphone, ¿Cuál o cuáles de estas tareas es capaz de realizar por usted mismo?]",4758,2,4.84,False
2025,XII,digital_skills,2,Q8_2,"2.- Realización de fórmulas sencillas en planillas de cálculo (ej: Excel) [Q8. Pensando en el uso del computador y o smartphone, ¿Cuál o cuáles de estas tareas es capaz de realizar por usted mismo?]",4758,2,4.84,False
2025,XII,digital_skills,2,Q8_6,"6.- Encontrar, descargar e instalar y configurar aplicaciones (Apps) y/o programas (softwares) desde internet [Q8. Pensando en el uso del computador y o smartphone, ¿Cuál o cuáles de estas tareas es capaz de realizar por usted mismo?]",4758,2,4.84,False
2025,XII,digital_skills,1,Q36_CODIF_2,"No se maneja, no sabe usar [Q36.-  ¿Por qué no le interesa?]",48,2,99.04,False
2025,XII,digital_skills,1,Q34_21,No sabe usarlos [Q34. Señale las razones por las que no ha utilizado Internet…],269,1,94.62,False
2025,XII,disability,2,Q34_11,9.- Tengo una discapacidad / no puedo leer / tengo una limitación que me impide usarlo [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025,XII,disability,1,A13_1,Dificultad física y/o de movilidad [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],5000,2,0.0,False
2025,XII,disability,1,A13_2,Mudez o dificultad en el habla [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],5000,2,0.0,False
2025,XII,disability,1,A13_3,Dificultad psiquiátrica [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],5000,2,0.0,False
2025,XII,disability,1,A13_4,Dificultad mental o intelectual [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],5000,2,0.0,False
2025,XII,disability,1,A13_5,Sordera o dificultad para oír aún usando audífonos [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],5000,2,0.0,False
2025,XII,disability,1,A13_6,Ceguera o dificultad para ver aún usando lentes [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],5000,2,0.0,False
2025,XII,disability,1,Q1_6_1,Dificultad física y/o de movilidad [Q1.6.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],5000,2,0.0,False
