dataset_id,reference_year,survey_wave,variable,variable_label,category_code,category_label,n_unweighted,pct_unweighted,weighted_n,pct_weighted,weight_variable,cell_rule
2025_XII_bbddsubtel2025_031225,2025,XII,A12_3,Quechua [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,4985,99.7,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_4,Mapuche [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,4490,89.8,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_4,Mapuche [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],1.0,1.0,510,10.2,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_5,Atacameño [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,4984,99.68,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_6,Chango [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,4994,99.88,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_7,Colla [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,4992,99.84,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_8,Kawéskar [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,4999,99.98,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_9,Selk’nam [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,4999,99.98,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_111,Diaguita [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,4907,98.14,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_111,Diaguita [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],1.0,1.0,93,1.86,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_12,Afrodescendiente [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,4997,99.94,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_13,Ninguno pertenece a pueblos indígenas o tribales [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],1.0,1.0,4277,85.54,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_13,Ninguno pertenece a pueblos indígenas o tribales [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,723,14.46,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_1,Dificultad física y/o de movilidad [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],0.0,0.0,4521,90.42,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_1,Dificultad física y/o de movilidad [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],1.0,1.0,479,9.58,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_2,Mudez o dificultad en el habla [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],0.0,0.0,4972,99.44,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_3,Dificultad psiquiátrica [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],0.0,0.0,4918,98.36,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_3,Dificultad psiquiátrica [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],1.0,1.0,82,1.64,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_4,Dificultad mental o intelectual [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],0.0,0.0,4831,96.62,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_4,Dificultad mental o intelectual [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],1.0,1.0,169,3.38,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_5,Sordera o dificultad para oír aún usando audífonos [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],0.0,0.0,4864,97.28,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_5,Sordera o dificultad para oír aún usando audífonos [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],1.0,1.0,136,2.72,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_6,Ceguera o dificultad para ver aún usando lentes [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],0.0,0.0,4843,96.86,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_6,Ceguera o dificultad para ver aún usando lentes [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],1.0,1.0,157,3.14,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_7,No hay miembros con condición de larga duración [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],1.0,1.0,4112,82.24,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A13_7,No hay miembros con condición de larga duración [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],0.0,0.0,888,17.76,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_1,Trabaja con remuneración [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],1.0,1.0,3728,74.56,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_1,Trabaja con remuneración [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],0.0,0.0,1272,25.44,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_2,Trabaja sin remuneración [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],0.0,0.0,4772,95.44,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_2,Trabaja sin remuneración [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],1.0,1.0,228,4.56,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_3,Cesante [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],0.0,0.0,4500,90.0,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_3,Cesante [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],1.0,1.0,500,10.0,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_4,Busca trabajo por 1ª vez [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],0.0,0.0,4953,99.06,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_4,Busca trabajo por 1ª vez [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],1.0,1.0,47,0.94,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_5,Estudia (en 2025) [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],0.0,0.0,3387,67.74,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_5,Estudia (en 2025) [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],1.0,1.0,1613,32.26,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_6,Dueña de casa [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],0.0,0.0,3522,70.44,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_6,Dueña de casa [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],1.0,1.0,1478,29.56,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_7,Jubilados / Pensionados / Inactivos [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],0.0,0.0,3595,71.9,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_7,Jubilados / Pensionados / Inactivos [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],1.0,1.0,1405,28.1,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P1,"P1. ¿Algunos miembros de este hogar tienen acceso propio y pagado a Internet fijo o móvil desde el hogar, sin importar si lo utilizan o no?",1.0,Sí,4841,96.82,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P1,"P1. ¿Algunos miembros de este hogar tienen acceso propio y pagado a Internet fijo o móvil desde el hogar, sin importar si lo utilizan o no?",2.0,No,159,3.18,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P2,"P2.- En este hogar, ¿cuántos teléfonos móviles propios de tipo smartphone (con pantalla táctil y posibilidad de acceso a internet) hay? (digitar de 0 hacia arriba)",2.0,2,1522,31.43979,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P2,"P2.- En este hogar, ¿cuántos teléfonos móviles propios de tipo smartphone (con pantalla táctil y posibilidad de acceso a internet) hay? (digitar de 0 hacia arriba)",4.0,4,767,15.84383,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P2,"P2.- En este hogar, ¿cuántos teléfonos móviles propios de tipo smartphone (con pantalla táctil y posibilidad de acceso a internet) hay? (digitar de 0 hacia arriba)",1.0,1,905,18.69448,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P2,"P2.- En este hogar, ¿cuántos teléfonos móviles propios de tipo smartphone (con pantalla táctil y posibilidad de acceso a internet) hay? (digitar de 0 hacia arriba)",5.0,5,294,6.07313,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P2,"P2.- En este hogar, ¿cuántos teléfonos móviles propios de tipo smartphone (con pantalla táctil y posibilidad de acceso a internet) hay? (digitar de 0 hacia arriba)",7.0,7,42,0.86759,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P2,"P2.- En este hogar, ¿cuántos teléfonos móviles propios de tipo smartphone (con pantalla táctil y posibilidad de acceso a internet) hay? (digitar de 0 hacia arriba)",3.0,3,1140,23.54885,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P2,"P2.- En este hogar, ¿cuántos teléfonos móviles propios de tipo smartphone (con pantalla táctil y posibilidad de acceso a internet) hay? (digitar de 0 hacia arriba)",6.0,6,115,2.37554,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P2_1,"P2_1.- En este hogar, ¿cuántos computadores propios hay (desktop, notebook, Tablet)?",0.0,0,1673,34.55898,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P2_1,"P2_1.- En este hogar, ¿cuántos computadores propios hay (desktop, notebook, Tablet)?",1.0,1,1845,38.11196,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P2_1,"P2_1.- En este hogar, ¿cuántos computadores propios hay (desktop, notebook, Tablet)?",3.0,3,319,6.58955,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P2_1,"P2_1.- En este hogar, ¿cuántos computadores propios hay (desktop, notebook, Tablet)?",2.0,2,861,17.78558,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P2_1,"P2_1.- En este hogar, ¿cuántos computadores propios hay (desktop, notebook, Tablet)?",4.0,4,93,1.92109,,,,published only when unweighted n >= 30
